Year,GDP per capita,Population,Entity,Code,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),EI(PJ/$)-Time(year),Primary energy (PJ)
1965,1253.0,724219008,China,CHN,1532.235,2202.635580482148,2202.635580482148,2.0132849763403876e-08,5516.045999999999
1966,1261.0,742414976,China,CHN,1665.28,3309.789364454476,3309.789364454476,2.139937987373746e-08,5995.008
1967,1237.0,762580992,China,CHN,1497.596,4416.943148426805,4416.943148426805,2.266590998407105e-08,5391.345600000001
1968,1178.0,784075008,China,CHN,1512.598,5524.096932399133,5524.096932399133,2.3932440094404638e-08,5445.3528
1969,1264.0,805985984,China,CHN,1841.019,6631.250716371462,6631.250716371462,2.5198970204738636e-08,6627.6684000000005
1970,1398.0,827601024,China,CHN,2357.393,7738.40450034421,7738.40450034421,2.646550031507222e-08,8486.614800000001
1971,1446.0,848760000,China,CHN,2794.9159999999997,8845.558284316538,8845.558284316538,2.773203042540581e-08,10061.6976
1972,1431.0,869486016,China,CHN,3012.934,9952.712068288867,9952.712068288867,2.8998560535739398e-08,10846.5624
1973,1513.0,889484992,China,CHN,3180.296,11059.865852261195,11059.865852261195,3.0265090646072986e-08,11449.0656
1974,1519.0,908464000,China,CHN,3279.296,12167.019636233943,12167.019636233943,3.1531620756406575e-08,11805.4656
1975,1594.0,926241024,China,CHN,3672.6290000000004,13274.17342020627,13274.17342020627,3.279815086674016e-08,13221.4644
1976,1519.0,942684992,China,CHN,3866.91,14381.3272041786,14381.3272041786,3.374457119023128e-08,13920.876
1977,1583.0,957891008,China,CHN,4216.888,15488.480988150928,15488.480988150928,3.3386014322204567e-08,15180.7968
1978,1744.0,972204992,China,CHN,4624.29,16595.634772123678,16595.634772123678,3.302745745417795e-08,16647.444
1979,1859.0,986131968,China,CHN,4763.128,17702.788556096006,17702.788556096006,3.266890058615125e-08,17147.2608
1980,1930.0,1000089024,China,CHN,4856.292,18809.942340068334,18809.942340068334,3.2310343718124634e-08,17482.6512
1981,1962.0,1014022016,China,CHN,4790.988,19917.09612404066,19917.09612404066,3.195178685009803e-08,17247.556800000002
1982,2128.0,1027948992,China,CHN,5002.704000000001,21024.24990801341,21024.24990801341,3.1593229982071314e-08,18009.7344
1983,2227.0,1042430976,China,CHN,5324.026999999999,22131.40369198574,22131.40369198574,3.123467311404471e-08,19166.497199999998
1984,2444.0,1058172032,China,CHN,5712.496999999999,23238.557475958067,23238.557475958067,3.0876116246018e-08,20564.9892
1985,2619.0,1075588992,China,CHN,6178.478,24345.711259930395,24345.711259930395,3.0517559377991395e-08,22242.520800000002
1986,2748.0,1095014016,China,CHN,6475.321,25452.865043902722,25452.865043902722,3.015900250996468e-08,23311.155600000002
1987,2931.0,1116094976,China,CHN,6983.141,26560.018827875472,26560.018827875472,2.9800445641938076e-08,25139.3076
1988,3045.0,1137724032,China,CHN,7500.799,27667.1726118478,27667.1726118478,2.944188877391147e-08,27002.8764
1989,3022.0,1158356992,China,CHN,7870.6669999999995,28774.326395820128,28774.326395820128,2.908333190588476e-08,28334.4012
1990,2982.0,1176883968,China,CHN,7972.531,29881.480179792456,29881.480179792456,2.872477503785815e-08,28701.1116
1991,3051.32,1192897024,China,CHN,8375.788,30988.633963765205,30988.633963765205,2.8366218169831437e-08,30152.8368
1992,3227.74,1206711040,China,CHN,8820.231,32095.787747737533,32095.787747737533,2.800766130180483e-08,31752.8316
1993,3506.48,1218817024,China,CHN,9497.178,33202.94153170986,33202.94153170986,2.764910443377812e-08,34189.8408
1994,3730.16,1230019968,China,CHN,10081.194,34310.09531568219,34310.09531568219,2.7290547565751514e-08,36292.2984
1995,3999.73,1240920960,China,CHN,10390.963,35417.24909965494,35417.24909965494,2.6931990697724907e-08,37407.4668
1996,4219.64,1251635968,China,CHN,10932.141000000001,36524.40288362727,36524.40288362727,2.6573433829698194e-08,39355.70760000001
1997,4310.83,1261996032,China,CHN,10995.761999999999,37631.556667599594,37631.556667599594,2.6214876961671588e-08,39584.7432
1998,4309.85,1271981952,China,CHN,11010.818000000001,38738.710451571926,38738.710451571926,2.585632009364488e-08,39638.944800000005
1999,4466.74,1281515008,China,CHN,11396.786,39845.86423554467,39845.86423554467,2.5497763225618268e-08,41028.4296
2000,4730.35,1290551040,China,CHN,11792.553999999998,40953.018019517,40953.018019517,2.513920635759166e-08,42453.19439999999
2001,4995.14,1299129984,China,CHN,12456.115,45293.71445429586,45293.71445429586,2.4780649489564952e-08,44842.014
2002,5343.11,1307352064,China,CHN,13567.957,52116.26657432634,52116.26657432634,2.545433983598687e-08,48844.6452
2003,5649.46,1315303936,China,CHN,15798.685,58938.818694355155,58938.818694355155,2.7390092053312765e-08,56875.265999999996
2004,6067.59,1323085056,China,CHN,18484.936,65761.37081438563,65761.37081438563,2.9325844270638664e-08,66545.76960000001
2005,6626.59,1330776064,China,CHN,21000.495,72583.92293441613,72583.92293441613,3.1261596487964566e-08,75601.78199999999
2006,7271.04,1338408960,China,CHN,23022.389,79406.47505444661,79406.47505444661,3.0818818830321935e-08,82880.6004
2007,7895.71,1345993984,China,CHN,25024.414,86229.02717447541,86229.02717447541,3.036552466517238e-08,90087.8904
2008,8190.11,1353569024,China,CHN,25956.957000000002,93051.57929450591,93051.57929450591,2.9912230500022723e-08,93445.04520000001
2009,8734.04,1361169024,China,CHN,27089.785,99874.13141453639,99874.13141453639,2.9458936334873068e-08,97523.226
2010,9658.42,1368811008,China,CHN,28967.802000000003,106696.68353456688,106696.68353456688,2.9005642169723512e-08,104284.08720000001
2011,10221.0,1376498048,China,CHN,31261.361,113519.23565459569,113519.23565459569,2.8552348004573854e-08,112540.8996
2012,10680.0,1384205952,China,CHN,32512.623,117595.2029349315,117595.2029349315,2.80990538394242e-08,117045.4428
2013,11328.0,1391883008,China,CHN,33715.209,120375.31149946041,120375.31149946041,2.7645759674274643e-08,121374.75240000001
2014,11944.0,1399453952,China,CHN,34499.453,123155.4200639885,123155.4200639885,2.7192465509124987e-08,124198.03080000001
2015,12244.0,1406848000,China,CHN,34826.942,125935.52862851741,125935.52862851741,2.673917134397533e-08,125376.99120000002
2016,12569.0,1414049024,China,CHN,35264.122,128715.63719304549,128715.63719304549,2.628587717882567e-08,126950.83920000002
2017,12733.93,1421021952,China,CHN,36342.177,131495.74575757442,131495.74575757442,2.5832583013676118e-08,130831.83720000001
2018,13101.71,1427648000,China,CHN,37714.113,134275.85432210247,134275.85432210247,2.537928884852646e-08,135770.8068
