Year;Energy (PetaJoules);Energy (TWh)
1804;103.55;33.34337599
1805;104.54;33.66215863
1806;111.507;35.90555119
1807;118.474;38.14894376
1808;124.26;40.01205118
1809;124.26;40.01205118
1810;124.26;40.01205118
1811;124.26;40.01205118
1812;125.454;40.39652237
1813;129.913;41.83233225
1814;134.372;43.26814214
1815;138.83;44.70363002
1816;143.289;46.1394399
1817;144.97;46.68072638
1818;144.97;46.68072638
1819;144.97;46.68072638
1820;144.97;46.68072638
1821;144.97;46.68072638
1822;140.993;45.40012178
1823;134.436;43.28875031
1824;127.879;41.17737883
1825;132.585;42.69272337
1826;151.163;48.67488889
1827;169.741;54.6570544
1828;186.391;60.01839878
1829;186.391;60.01839878
1830;186.391;60.01839878
1831;186.391;60.01839878
1832;190.781;61.43199048
1833;195.426;62.92769286
1834;200.07;64.42307324
1835;204.715;65.91877562
1836;209.458;67.44603426
1837;214.304;69.00645917
1838;219.151;70.56720609
1839;223.997;72.12763101
1840;228.89;73.70319005
1841;233.957;75.33477756
1842;239.024;76.96636506
1843;244.091;78.59795256
1844;249.188;80.23920015
1845;254.496;81.9483903
1846;259.804;83.65758044
1847;265.112;85.36677059
1848;266.733;85.88873691
1849;255.586;82.2993732
1850;262.124;84.40462663
1851;299.281;96.36927966
1852;336.437;108.3336107
1853;359.245;115.6778475
1854;371.631;119.6661725
1855;384.016;123.6541755
1856;396.401;127.6421785
1857;408.787;131.6305035
1858;421.172;135.6185065
1859;433.558;139.6068315
1860;444.367;143.0873584
1861;454.983;146.5057386
1862;465.599;149.9241189
1863;476.215;153.3424992
1864;479.777;154.4894727
1865;483.26;155.611008
1866;486.743;156.7325433
1867;490.227;157.8544006
1868;493.71;158.9759359
1869;497.273;160.1232314
1870;502.582;161.8327435
1871;507.89;163.5419337
1872;513.198;165.2511238
1873;518.506;166.960314
1874;523.814;168.6695041
1875;529.122;170.3786942
1876;534.43;172.0878844
1877;539.95;173.8653391
1878;546.143;175.8595016
1879;552.336;177.8536641
1880;558.529;179.8478266
1881;575.821;185.4158967
1882;594.399;191.3980622
1883;612.977;197.3802277
1884;631.555;203.3623933
1885;642.012;206.7295751
1886;642.012;206.7295751
1887;642.012;206.7295751
1888;642.012;206.7295751
1889;642.012;206.7295751
1890;642.012;206.7295751
1891;642.012;206.7295751
1892;642.012;206.7295751
1893;642.012;206.7295751
1894;642.012;206.7295751
1895;642.012;206.7295751
1896;642.012;206.7295751
1897;642.012;206.7295751
1898;642.012;206.7295751
1899;645.057;207.7100732
1900;668.28;215.1879411
1901;691.503;222.665809
1902;714.725;230.1433549
1903;737.948;237.6212228
1904;772.005;248.5876676
1905;811.347;261.2558964
1906;850.689;273.9241253
1907;927.08;298.5222309
1908;994.083;320.0973755
1909;994.083;320.0973755
1910;1028.397;331.1465749
1911;1125.003;362.2539644
1912;1221.609;393.3613539
1913;1352.001;435.3479254
1914;1354.834;436.260159
1915;1271.232;409.3400922
1916;1273.288;410.0021296
1917;1398.69;450.3819079
1918;1452.402;467.677315
1919;1400.975;451.117684
1920;1386.617;446.4943697
1921;1430.415;460.5974424
1922;1360.947;438.2285613
1923;1520.188;489.5045877
1924;1474.746;474.8721426
1925;1398.538;450.3329635
1926;1489.74;479.7002505
1927;1575.386;507.2784908
1928;1593.964;513.2606563
1929;1648.277;530.7495871
1930;1656.805;533.4956258
1931;1570.658;505.7560622
1932;1343.474;432.6022087
1933;1321.789;425.6195809
1934;1449.4;466.710663
1935;1430.821;460.7281755
1936;1520.362;489.5606162
1937;1621.697;522.1907562
1938;1540.463;496.0331917
1939;1661.982;535.1626336
1940;1800.593;579.795745
1941;1938.29;624.134546
1942;2075.986;668.473025
1943;2185.114;703.6125319
1944;2206.535;710.510151
1945;2157.23;694.6338096
1946;2219.157;714.5744686
1947;2306.126;742.5787184
1948;2411.656;776.5596597
1949;2387.504;768.7826513
1950;2588.148;833.3905541
1951;2686.352;865.0125038
1952;2673.966;861.0241788
1953;2711.664;873.1630353
1954;2782.99;896.1301974
1955;2991.994;963.4300424
1956;3053.008;983.076713
1957;3014.532;970.6873385
1958;3032.501;976.4734044
1959;3151.932;1014.930505
1960;3271.363;1053.387605
1961;3455.331;1112.625791
1962;3653.498;1176.436094
1963;3851.665;1240.246396
1964;4049.832;1304.056698
1965;4247.999;1367.867
1966;4376.523;1455.305
1967;4626.059;1522.283
1968;4895.442;1621.128
1969;5278.629;1718.322
1970;5631.41;1840.163
1971;6012.008;1897.777
1972;6435.59;2041.291
1973;6411.834;2182.672
1974;6861.628;2249.822
1975;6954.519;2210.034
1976;7498.057;2344.444
1977;7535.213;2482.293
1978;7979.261;2515.037
1979;7987.992;2590.779
1980;7876.523;2643.899
1981;7647.372;2613.583
1982;8137.835;2525.188
1983;8504.22;2507.965
1984;8183.747;2670.922
1985;8039.767;2755.851
1986;8504.457;2762.85
1987;8945.324;2857.857
1988;9149.495;2974.519
1989;9117.647;3004.278
1990;8981.953;2949.8
1991;9261.605;2955.765
1992;9585.878;3029.434
1993;9750.479;3096.948
1994;10039.018;3211.774
1995;10415.485;3280.275
1996;10596.622;3371.207
1997;10245.388;3397.19
1998;10488.122;3350.327
1999;10765.332;3457.071
2000;11032.196;3557.887
2001;10815.524;3471.46
2002;11389.192;3578.257
2003;11533.066;3594.084
2004;11286.525;3636.694
2005;11109.85;3673.987
2006;11283.328;3626.585
2007;11680.48624;3754.236
2008;11634.65394;3739.505
2009;11006.90928;3537.741
2010;11240.81233;3612.92
2011;11758.18739;3779.21
2012;11640.07069;3741.246
2013;11997.27695;3856.056
2014;12127.06407;3897.771
2015;12093.9507;3887.128
2016;12044.71467;3871.303
2017;12194.0593;3919.304
2018;12401.52269;3985.985
2019;12284.43582;3948.352
