Year;Energy (PetaJoules);Energy (TWh)
1802;527.531;140.349953
1803;527.531;140.349953
1804;527.531;140.349953
1805;527.531;140.349953
1806;527.531;140.349953
1807;527.531;140.349953
1808;527.531;140.349953
1809;527.531;140.349953
1810;527.531;140.349953
1811;527.531;140.349953
1812;527.531;140.349953
1813;527.531;140.349953
1814;528.181;140.5228859
1815;533.674;141.984302
1816;539.166;143.445452
1817;544.658;144.9066021
1818;550.15;146.3677521
1819;555.642;147.8289022
1820;560.619;149.1530361
1821;564.377;150.1528544
1822;568.135;151.1526726
1823;571.892;152.1522248
1824;575.488;153.1089429
1825;575.488;153.1089429
1826;575.488;153.1089429
1827;575.488;153.1089429
1828;576.984;153.5069546
1829;580.229;154.3702889
1830;583.474;155.2336232
1831;586.72;156.0972235
1832;589.965;156.9605578
1833;600.569;159.7817587
1834;617.568;164.3043533
1835;634.568;168.8272139
1836;651.567;173.3498085
1837;668.567;177.8726692
1838;671.403;178.6271887
1839;671.403;178.6271887
1840;671.403;178.6271887
1841;679.716;180.8388676
1842;691.616;184.00487
1843;703.516;187.1708725
1844;715.415;190.3366089
1845;732.377;194.8493596
1846;751.849;200.0298974
1847;759.978;202.192623
1848;724.279;192.6948817
1849;731.673;194.66206
1850;745.952;198.4609969
1851;773.582;205.8119757
1852;809.281;215.309717
1853;844.98;224.8074583
1854;880.679;234.3051996
1855;911.19;242.4226703
1856;911.19;242.4226703
1857;911.19;242.4226703
1858;911.19;242.4226703
1859;935.268;248.8286373
1860;965.867;256.9695204
1861;996.466;265.1104035
1862;1015.573;270.1938328
1863;1028.554;273.647436
1864;1046.806;278.503392
1865;1087.605;289.3579915
1866;1108.942;295.0347138
1867;1118.462;297.5675157
1868;1127.982;300.1003177
1869;1122.438;298.625333
1870;1074.839;285.9615893
1871;1120.331;298.0647643
1872;1173.88;312.3115093
1873;1206.581;321.0116309
1874;1170.882;311.5138896
1875;1176.741;313.0726802
1876;1187.725;315.9949803
1877;1198.71;318.9175464
1878;1241.973;330.4276946
1879;1285.91;342.117161
1880;1329.69;353.7648574
1881;1371.339;364.8456
1882;1412.988;375.9263425
1883;1428.977;380.180226
1884;1403.478;373.3962011
1885;1377.978;366.6119101
1886;1367.041;363.7021144
1887;1400.36;372.5666552
1888;1433.679;381.431196
1889;1466.999;390.2960029
1890;1565.916;416.6129327
1891;1566.607;416.7967737
1892;1566.607;416.7967737
1893;1588.511;422.6243466
1894;1639.85;436.2831197
1895;1604.151;426.7853784
1896;1655.82;440.5319482
1897;1723.649;458.5778962
1898;1791.477;476.6235781
1899;1859.305;494.66926
1900;1881.985;500.7032882
1901;1826.453;485.9289648
1902;1835.507;488.3377871
1903;1927.671;512.8580771
1904;1899.112;505.2599372
1905;1870.553;497.6617974
1906;1976.628;525.8831176
1907;2066.273;549.733226
1908;2086.673;555.1606588
1909;2107.072;560.5878255
1910;2130.875;566.9206286
1911;2202.273;585.9161112
1912;2299.494;611.7818191
1913;2165.137;576.0360551
1914;1743.425;463.8393134
1915;1624.428;432.180087
1916;1704.6;453.5098978
1917;1781.417;473.9471088
1918;1710.018;454.9513601
1919;1736.399;461.9700417
1920;2124.163;565.1348968
1921;2040.865;542.9734117
1922;2236.107;594.9176681
1923;2472.27;657.7489822
1924;2708.433;720.5802963
1925;2791.935;742.7960557
1926;2869.283;763.3745395
1927;2929.319;779.3471549
1928;2974.587;791.3907347
1929;3183.708;847.0275077
1930;3218.775;856.3571051
1931;3030.544;806.2781296
1932;2842.313;756.1991541
1933;2829.869;752.8884201
1934;2789.674;742.1945152
1935;2768.324;736.5143343
1936;2847.561;757.5953878
1937;2949.66;784.7588907
1938;2830.663;753.0996643
1939;2549.58;678.3173561
1940;1945.102;517.4956056
1941;1830.439;486.9894426
1942;1891.637;503.2712088
1943;1649.676;438.8973332
1944;1500.205;399.13048
1945;1830.315;486.9564523
1946;2347.951;624.6738344
1947;2735.261;727.7179025
1948;2879.287;766.03611
1949;3079.693;819.3542518
1950;2935.268;780.9298901
1951;3191.87;849.199013
1952;3306.107;879.5918384
1953;3158.685;840.3701229
1954;3367.904;896.0329689
1955;3427.402;911.8624491
1956;3676.732;978.1968518
1957;3945.896;1049.808103
1958;3904.898;1038.900559
1959;3928.335;1045.135988
1960;3852.084;1024.849361
1961;4080.557;1085.634746
1962;4309.031;1146.420397
1963;4537.505;1207.206048
1964;4765.979;1267.991698
1965;4890.806;1301.202
1966;4962.205;1331.717
1967;5250.679;1418.669
1968;5571.97;1496.955
1969;5893.262;1650.148
1970;6214.553;1792.151
1971;6454.592;1864.904
1972;6734.322;1993.841
1973;7067.349;2165.876
1974;6867.434;2125.392
1975;6667.519;2000.777
1976;7062.953;2132.802
1977;6953.112;2156.193
1978;7209.837;2254.036
1979;7324.074;2320.738
1980;7242.946;2290.454
1981;6762.297;2265.007
1982;6590.941;2180.742
1983;6526.66;2233.564
1984;6527.385;2307.346
1985;6619.182;2382.862
1986;6643.302;2440.778
1987;6654.286;2484.389
1988;6665.271;2516.27
1989;6900.221;2551.21
1990;7152.861;2628.647
1991;7398.193;2794.177
1992;7198.278;2815.385
1993;7225.116;2814.944
1994;6871.292;2777.668
1995;7149.745;2844.387
1996;7428.197;2951.451
1997;7186.958;2911.284
1998;7482.641;2979.563
1999;7511.938;3030.513
2000;7551.441;3069.409
2001;7741.836;3105.778
2002;7919.422;3075.07
2003;8062.218;3107.187
2004;8112.481;3132.569
2005;8053.623;3115.302
2006;7909.738;3089.266
2007;7628.04;3034.583
2008;7649.167673;3042.988
2009;7223.137769;2873.505
2010;7437.471158;2958.771
2011;7149.461138;2844.195
2012;7139.552121;2840.253
2013;7200.863848;2864.644
2014;6892.392286;2741.928
2015;6929.047101;2756.51
2016;6816.091349;2711.574
2017;6773.117085;2694.478
2018;6892.610978;2742.015
2019;6758.469738;2688.651
