Year;Energy (PetaJoules);Energy (TWh)
1862;441.281;127.0089619
1863;441.281;127.0089619
1864;438.01;126.0675067
1865;434.031;124.9222757
1866;430.052;123.7770448
1867;428.019;123.1919092
1868;431.998;124.3371401
1869;435.976;125.4820833
1870;439.955;126.6273142
1871;444.331;127.8868092
1872;448.907;129.203868
1873;453.482;130.520639
1874;461.871;132.9351508
1875;473.31;136.2275099
1876;483.986;139.3002632
1877;483.986;139.3002632
1878;484.479;139.4421579
1879;495.571;142.6346439
1880;506.663;145.8271298
1881;517.755;149.0196158
1882;528.847;152.2121018
1883;539.939;155.4045878
1884;545.83;157.1001283
1885;551.213;158.6494568
1886;559.404;161.0069805
1887;575.319;165.5876164
1888;591.234;170.1682524
1889;607.148;174.7486006
1890;600.638;172.8749003
1891;584;168.0861713
1892;583.63;167.9796784
1893;589.731;169.7356608
1894;611.874;176.1088322
1895;601.706;173.1822908
1896;591.538;170.2557493
1897;586.022;168.6681409
1898;596.788;171.766798
1899;607.554;174.865455
1900;612.1;176.1738792
1901;612.1;176.1738792
1902;613.057;176.4493218
1903;623.822;179.5476911
1904;634.588;182.6463481
1905;654.924;188.499431
1906;687.222;197.7954021
1907;719.519;207.0910855
1908;747.941;215.271471
1909;770.281;221.7013427
1910;776.817;223.5825263
1911;784.795;225.8787446
1912;812.952;233.9828581
1913;838.502;241.3366281
1914;811.388;233.5327096
1915;811.388;233.5327096
1916;800;230.2550292
1917;732.079;210.7060894
1918;775.097;223.087478
1919;739.901;212.957408
1920;721.912;207.7798358
1921;772.75;222.4119673
1922;823.589;237.0443866
1923;874.428;251.6768059
1924;925.267;266.3092252
1925;930.351;267.7724959
1926;1006.609;289.7209809
1927;1054.543;303.5172866
1928;1003.22;288.745563
1929;1040.537;299.4860967
1930;968.293;278.6929163
1931;896.048;257.899448
1932;854.842;246.0395871
1933;922.27;265.4466323
1934;989.698;284.8536774
1935;997.313;287.0454175
1936;896.216;257.9478016
1937;1039.772;299.2659153
1938;1046.811;301.2918717
1939;1057.738;304.4368676
1940;1123.103;323.2501426
1941;1086.208;312.6310685
1942;1077.968;310.2594417
1943;786.8;226.4558212
1944;593.798;170.9062198
1945;589.105;169.5554862
1946;807.321;232.3621506
1947;998.184;287.2961076
1948;1013.179;291.6119503
1949;1069.493;307.8201775
1950;1127.267;324.44862
1951;1238.434;356.4445711
1952;1256.465;361.6342316
1953;1372.378;394.9961706
1954;1488.29;428.3578218
1955;1533.977;441.5073987
1956;1564.481;450.287023
1957;1734.96;499.3540819
1958;1683.967;484.6773385
1959;1891.944;544.5370263
1960;2104.728;605.7802589
1961;2325.428;669.3018651
1962;2546.129;732.8237591
1963;2766.829;796.3453653
1964;2987.53;859.8672593
1965;3197.908;920.418
1966;3473.657894;999.784
1967;3765.164231;1083.685
1968;4070.755819;1171.64
1969;4384.553959;1261.957
1970;4843.026464;1393.914
1971;5101.310508;1468.253
1972;5350.224072;1539.895
1973;5587.536586;1608.198
1974;5585.059333;1607.485
1975;5465.261733;1573.005
1976;5770.912386;1660.977
1977;5782.575974;1664.334
1978;5928.775604;1706.413
1979;6115.226255;1760.077
1980;5958.127406;1714.861
1981;5834.438468;1679.261
1982;5718.070109;1645.768
1983;5597.70618;1611.125
1984;5684.514273;1636.11
1985;5662.236366;1629.698
1986;5816.743306;1674.168
1987;5993.180712;1724.95
1988;6140.683245;1767.404
1989;6317.186664;1818.205
1990;6345.218191;1826.273
1991;6488.763373;1867.588
1992;6484.430785;1866.341
1993;6380.671054;1836.477
1994;6368.931028;1833.098
1995;6630.856252;1908.485
1996;6639.917509;1911.093
1997;6733.087243;1937.909
1998;6912.158251;1989.449
1999;7130.156529;2052.193
2000;7231.303506;2081.305
2001;7268.465777;2092.001
2002;7210.220796;2075.237
2003;7446.362435;2143.203
2004;7581.513446;2182.102
2005;7589.556701;2184.417
2006;7553.850206;2174.14
2007;7412.44526;2133.441
2008;7309.696581;2103.868
2009;6824.061152;1964.093
2010;7030.413214;2023.485
2011;6867.025686;1976.459
2012;6679.921847;1922.607
2013;6363.764583;1831.611
2014;6013.422615;1730.776
2015;6146.509828;1769.081
2016;6206.241856;1786.273
2017;6267.401867;1803.876
2018;6301.433697;1813.671
2019;6151.169009;1770.422
