Year;Energy (TWh)
1887;4.213684538
1888;4.402121434
1889;4.849109805
1890;5.979460738
1891;6.481298425
1892;6.755570313
1893;7.973739047
1894;9.992220718
1895;10.36721293
1896;10.78107379
1897;13.41720386
1898;19.39376008
1899;20.35457405
1900;18.56359217
1901;16.93019727
1902;17.00834351
1903;16.93019727
1904;18.47830021
1905;18.47830021
1906;22.57678091
1907;24.86921166
1908;26.89440983
1909;27.90371443
1910;29.42131085
1911;33.7801846
1912;41.6545089
1913;48.15728768
1914;47.82577525
1915;41.36776128
1916;49.16567642
1917;68.33796131
1918;77.74312944
1919;91.3402127
1920;76.14861672
1921;72.05465093
1922;75.79874561
1923;78.82464411
1924;83.4952979
1925;91.3402127
1926;102.2496944
1927;114.4621815
1928;125.5052863
1929;130.2153008
1930;112.3730112
1931;101.3122635
1932;110.576291
1933;138.8871348
1934;158.7310973
1935;187.3535897
1936;229.4362409
1937;275.2086111
1938;303.1531035
1939;323.3419243
1940;361.9611994
1941;330.8735252
1942;305.9581446
1943;289.5089662
1944;144.0993489
1945;65.86611053
1946;57.10340673
1947;93.03835404
1948;114.9905149
1949;134.7913486
1950;153.6958066
1951;184.358013
1952;214.1223586
1953;222.1580315
1954;221.1373081
1955;231.026617
1956;264.6439796
1957;347.2658032
1958;340.927488
1959;459.898527
1960;658.6611053
1961;827.2980841
1962;945.5010568
1963;1190.315307
1964;1467.783558
1965;1809.931
1966;1999.612
1967;2292.715
1968;2556.479
1969;2913.557
1970;3257.581
1971;3468.104
1972;3633.553
1973;4036.377
1974;4052.26
1975;3870.189
1976;4011.589
1977;4041.807
1978;4209.871
1979;4375.224
1980;4244.663
1981;4185.551
1982;4020.062
1983;4073.354
1984;4421.824
1985;4451.01
1986;4456.493
1987;4546.668
1988;4837.037
1989;5003.158
1990;5168.547
1991;5295.965
1992;5361.678
1993;5437.074
1994;5646.801
1995;5868.479
1996;5980.051
1997;6090.235
1998;5956.57
1999;6061.602
2000;6128.864
2001;6069.191
2002;6051.151
2003;6027.271
2004;6099.329
2005;6207.568
2006;6189.139
2007;6126.677
2008;6042.367
2009;5509.297
2010;5869.964
2011;5572.723
2012;5534.108
2013;5485.277
2014;5344.636
2015;5268.915
2016;5179.953
2017;5247.426
2018;5233.466
