Year;Energy (PetaJoules);Energy (TWh)
1850;295.62;67.17614821
1851;290.958;66.11676386
1852;286.296;65.0573795
1853;284.672;64.68834471
1854;284.672;64.68834471
1855;284.672;64.68834471
1856;284.672;64.68834471
1857;284.672;64.68834471
1858;284.672;64.68834471
1859;285.029;64.76946874
1860;288.293;65.51117413
1861;291.557;66.25287952
1862;294.82;66.99435767
1863;295.62;67.17614821
1864;295.62;67.17614821
1865;295.62;67.17614821
1866;295.62;67.17614821
1867;295.62;67.17614821
1868;295.62;67.17614821
1869;295.62;67.17614821
1870;295.62;67.17614821
1871;295.62;67.17614821
1872;292.743;66.52238399
1873;287.303;65.28620834
1874;286.543;65.11350733
1875;290.169;65.93747294
1876;293.796;66.76166579
1877;295.62;67.17614821
1878;295.62;67.17614821
1879;296.226;67.31385454
1880;300.305;68.24075904
1881;304.385;69.16789078
1882;306.569;69.66417895
1883;306.569;69.66417895
1884;306.569;69.66417895
1885;312.284;70.9628451
1886;321.609;73.08184105
1887;328.467;74.64024042
1888;328.467;74.64024042
1889;328.467;74.64024042
1890;333.205;75.71689488
1891;341.364;77.57093112
1892;349.523;79.42496736
1893;350.365;79.6163019
1894;350.365;79.6163019
1895;356.775;81.07289858
1896;364.028;82.72105703
1897;371.28;84.36898825
1898;383.549;87.15697338
1899;396.603;90.12334047
1900;412.69;93.77892093
1901;434.447;98.72294182
1902;424.27;96.41033895
1903;407.952;92.70226647
1904;413.62;93.99025243
1905;423.927;96.33239626
1906;434.233;98.67431285
1907;440.736;100.1520427
1908;445.087;101.140756
1909;450.905;102.4628276
1910;467.223;106.1709001
1911;483.542;109.8791998
1912;486.974;110.6590812
1913;473.919;107.6924869
1914;460.865;104.7261198
1915;482.436;109.6278744
1916;500.281;113.6829396
1917;513.335;116.6493067
1918;503.879;114.5005425
1919;492.701;111.9604743
1920;492.701;111.9604743
1921;494.806;112.4388106
1922;541.429;123.0333359
1923;578.454;131.4468292
1924;611.875;139.0413561
1925;562.921;127.9171386
1926;565.3;128.4577383
1927;591.346;134.3763837
1928;607.664;138.0844561
1929;617.476;140.3141171
1930;624.003;141.7973006
1931;609.77;138.5630197
1932;595.265;135.2669301
1933;580.76;131.9708404
1934;611.875;139.0413561
1935;617.322;140.2791224
1936;621.673;141.2678357
1937;626.025;142.2567762
1938;630.376;143.2454895
1939;634.728;144.23443
1940;622.042;141.3516866
1941;608.055;138.1733063
1942;605.105;137.5029537
1943;610.126;138.6439165
1944;621.172;141.1539894
1945;641.256;145.7178408
1946;665.286;151.1783741
1947;703.362;159.8306947
1948;734.924;167.0027858
1949;741.451;168.4859694
1950;779.057;177.031488
1951;829.701;188.539738
1952;853.749;194.0043615
1953;877.796;199.4687578
1954;911.745;207.1832665
1955;994.819;226.0608504
1956;1058.113;240.4436632
1957;1071.117;243.3986684
1958;1065.183;242.0502371
1959;1092.785;248.3224651
1960;1158.057;263.154755
1961;1196.098;271.7991223
1962;1238.587;281.4542449
1963;1293.817;294.0046091
1964;1368.872;311.0599701
1965;1469.291;333.879
1966;1602.751;376.918
1967;1741.788;407.482
1968;1852.681;428.644
1969;1988.665;484.675
1970;2084.503;523.709
1971;2274.34;576.327
1972;2471.926;622.897
1973;2576.677;683.643
1974;2694.905;711.437
1975;2702.274;731.661
1976;2814.35;783.039
1977;2865.174;808.641
1978;2965.328;811.829
1979;3010.949;873.933
1980;2945.255;881.261
1981;2934.377;889.539
1982;2910.724;888.356
1983;2890.511;909.258
1984;2890.511;922.336
1985;2916.83;914.748
1986;3045.199;934.484
1987;3197.501;968.756
1988;3322.403;1010.176
1989;3438.257;1061.327
1990;3540.828;1060.876
1991;3477.661;1098.215
1992;3598.989;1152.784
1993;3765.641;1114.382
1994;3756.317;1166.665
1995;3973.189;1212.368
1996;4212.521;1257.777
1997;4442.097;1328.134
1998;4658.097;1391.402
1999;4751.344;1435.865
2000;4940.951;1517.746
2001;5141.353;1587.167
2002;5338.293;1606.294
2003;5572.993;1699.833
2004;5572.993;1768.193
2005;5527.021;1783.585
2006;5604.646611;1808.635
2007;5716.371713;1844.689
2008;5554.219403;1792.362
2009;5134.721922;1656.989
2010;5261.721141;1697.972
2011;5162.961531;1666.102
2012;5134.749812;1656.998
2013;4860.599703;1568.529
2014;4767.827027;1538.591
2015;4831.281703;1559.068
2016;4876.320052;1573.602
2017;4940.072216;1594.175
2018;5008.426137;1616.233
2019;4924.856976;1589.265
