Fuel;Sector;Year;Consumption (Ktoe)
All;Agriculture;1970;1890
All;Commercial;1970;7997.01
All;Domestic;1970;36885
All;Industry;1970;62332
All;Public administration;1970;8699.99
All;Transport;1970;28176
All;Agriculture;1971;1995.84
All;Commercial;1971;7301.91
All;Domestic;1971;35621
All;Industry;1971;60746
All;Public administration;1971;8617.25
All;Transport;1971;29307
All;Agriculture;1972;2139.48
All;Commercial;1972;7267.34
All;Domestic;1972;36261
All;Industry;1972;61307
All;Public administration;1972;8789.18
All;Transport;1972;30442
All;Agriculture;1973;2225.16
All;Commercial;1973;7398.21
All;Domestic;1973;37576
All;Industry;1973;65146
All;Public administration;1973;8962.63
All;Transport;1973;32434
All;Agriculture;1974;1882.44
All;Commercial;1974;7254.37
All;Domestic;1974;38002
All;Industry;1974;60058
All;Public administration;1974;8355.19
All;Transport;1974;31265
All;Agriculture;1975;1842.12
All;Commercial;1975;7387.49
All;Domestic;1975;37062
All;Industry;1975;55445
All;Public administration;1975;8130.39
All;Transport;1975;30885
All;Agriculture;1976;1751.4
All;Commercial;1976;7700.24
All;Domestic;1976;36634
All;Industry;1976;57585
All;Public administration;1976;8705.36
All;Transport;1976;32033
All;Agriculture;1977;1852.2
All;Commercial;1977;7934.78
All;Domestic;1977;37898
All;Industry;1977;57572
All;Public administration;1977;9310.02
All;Transport;1977;32876
All;Agriculture;1978;1844.64
All;Commercial;1978;8156.18
All;Domestic;1978;38690
All;Industry;1978;56671
All;Public administration;1978;9212.18
All;Transport;1978;34571
All;Agriculture;1979;1844.64
All;Commercial;1979;8635.28
All;Domestic;1979;41566
All;Industry;1979;58564
All;Public administration;1979;9552.08
All;Transport;1979;35359
All;Agriculture;1980;1496.88
All;Commercial;1980;8298.59
All;Domestic;1980;39841
All;Industry;1980;48291
All;Public administration;1980;8925.53
All;Transport;1980;35541
All;Agriculture;1981;1403.64
All;Commercial;1981;8363
All;Domestic;1981;39674
All;Industry;1981;45774
All;Public administration;1981;8826.36
All;Transport;1981;34304
All;Agriculture;1982;1406.16
All;Commercial;1982;8390.72
All;Domestic;1982;39217
All;Industry;1982;44009
All;Public administration;1982;8668.12
All;Transport;1982;35036
All;Agriculture;1983;1426.32
All;Commercial;1983;8612.29
All;Domestic;1983;39014
All;Industry;1983;42191
All;Public administration;1983;8808.39
All;Transport;1983;36060
All;Agriculture;1984;1386
All;Commercial;1984;8743.2
All;Domestic;1984;37895
All;Industry;1984;41137
All;Public administration;1984;8808.8
All;Transport;1984;37783
All;Agriculture;1985;1421.28
All;Commercial;1985;9264.33
All;Domestic;1985;42062
All;Industry;1985;41703
All;Public administration;1985;8916.39
All;Transport;1985;38500
All;Agriculture;1986;1423.8
All;Commercial;1986;9783.61
All;Domestic;1986;43700
All;Industry;1986;40931
All;Public administration;1986;8926.59
All;Transport;1986;40954
All;Agriculture;1987;1370.88
All;Commercial;1987;9841.64
All;Domestic;1987;43461
All;Industry;1987;40210
All;Public administration;1987;8577.48
All;Transport;1987;42672
All;Agriculture;1988;1423.8
All;Commercial;1988;10308.44
All;Domestic;1988;42367
All;Industry;1988;40807
All;Public administration;1988;8317.76
All;Transport;1988;45345
All;Agriculture;1989;1338.12
All;Commercial;1989;10208.02
All;Domestic;1989;40258.1
All;Industry;1989;39404.8
All;Public administration;1989;7529.16
