Year;Energy (PetaJoules);Energy (TWh)
1800;520.65;159.6909582
1801;524.89;160.9914281
1802;529.14;162.2949651
1803;533.38;163.5954351
1804;537.63;164.8989721
1805;547.93;168.0581325
1806;560.03;171.7693792
1807;572.12;175.4775588
1808;584.22;179.1888055
1809;597.61;183.295714
1810;613.74;188.2430206
1811;629.87;193.1903271
1812;646;198.1376337
1813;661.15;202.7843599
1814;676.27;207.4218847
1815;691.39;212.0594095
1816;704.41;216.0528336
1817;714.49;219.1445168
1818;724.57;222.2362
1819;734.65;225.3278832
1820;747.62;229.3059716
1821;761.06;233.4282159
1822;774.5;237.5504602
1823;787.95;241.6757716
1824;807.11;247.5524234
1825;827.28;253.7388569
1826;846.53;259.643113
1827;861.66;264.283705
1828;876.78;268.9212298
1829;891.9;273.5587546
1830;909.41;278.9293273
1831;928.39;284.7507705
1832;947.37;290.5722136
1833;966.35;296.3936568
1834;990.53;303.8100159
1835;1015.73;311.5392239
1836;1040.94;319.271499
1837;1068.07;327.5926662
1838;1100.34;337.4903465
1839;1132.6;347.3849596
1840;1164.86;357.2795727
1841;1204.67;369.489881
1842;1245;381.859681
1843;1285.33;394.2294809
1844;1325.66;406.5992809
1845;1386.78;425.3456774
1846;1449.52;444.5889516
1847;1503.96;461.2864946
1848;1557.74;477.781606
1849;1609.9;493.7798397
1850;1657.35;508.3334476
1851;1704.79;522.8839884
1852;1752.24;537.4375963
1853;1801.08;552.4175375
1854;1851.49;567.8790207
1855;1901.9;583.3405038
1856;1952.31;598.801987
1857;2009.27;616.2724508
1858;2066.88;633.942279
1859;2124.5;651.6151745
1860;2182.94;669.5395759
1861;2241.6;687.5314545
1862;2280.07;699.3307653
1863;2280.07;699.3307653
1864;2406.88;738.2252441
1865;2486.92;762.774681
1866;2544.73;780.5058522
1867;2534.18;777.2700131
1868;2626.36;805.5429652
1869;2746.71;842.4560677
1870;2885.6;885.055659
1871;3033.47;930.4095473
1872;3108.01;953.2720539
1873;3100.36;950.9256872
1874;3190.45;978.5576058
1875;3179.87;975.3125653
1876;3189.95;978.4042485
1877;3230.46;990.829257
1878;3322.68;1019.114478
1879;3512.74;1077.408655
1880;3653.03;1120.437647
1881;3745.21;1148.710599
1882;3759.43;1153.072081
1883;3709.47;1137.748619
1884;3674.9;1127.145495
1885;3727.93;1143.410571
1886;3830.09;1174.744535
1887;3932.26;1206.081566
1888;4034.02;1237.292844
1889;4134.85;1268.218877
1890;4141.09;1270.132776
1891;3907.78;1198.573192
1892;3977.83;1220.05855
1893;4269.65;1309.564006
1894;4350.31;1334.303605
1895;4430.97;1359.043205
1896;4511.63;1383.782805
1897;4741.99;1454.437581
1898;4846.85;1486.599674
1899;4835.45;1483.103128
1900;4903.12;1503.858505
1901;5002.81;1534.434884
1902;5051.21;1549.279871
1903;5140.88;1576.782969
1904;5295.48;1624.201047
1905;5450.07;1671.616057
1906;5421.36;1662.810281
1907;5433.61;1666.567535
1908;5469.46;1677.563254
1909;5575.47;1710.078069
1910;5432.85;1666.334432
1911;5271.53;1616.855232
1912;5139.58;1576.38424
1913;5242.72;1608.018784
1914;5388.38;1652.694834
1915;5452.91;1672.487127
1916;5101.58;1564.729085
1917;5009.52;1536.492939
1918;5092.15;1561.836767
1919;3850.07;1180.872692
1920;4554.78;1397.01754
1921;4974.98;1525.899017
1922;5109.63;1567.198138
1923;4660.68;1429.498617
1924;3626.37;1112.260636
1925;4894.69;1501.272901
1926;4851.04;1487.884809
1927;5060.75;1552.205928
1928;4799.4;1472.046067
1929;4568.11;1401.106046
1930;4513.82;1384.45451
1931;4572.97;1402.596679
1932;4828.39;1480.937723
1933;5038.72;1545.449005
1934;5236.7;1606.172363
1935;5281.17;1619.811961
1936;5130.4;1573.5686
1937;5352.21;1641.600966
1938;5489.16;1683.605531
1939;5519.41;1692.883648
1940;5468.57;1677.290278
1941;5394.4;1654.541255
1942;5397.43;1655.470601
1943;5243;1608.104665
1944;5366.12;1645.867366
1945;5527.43;1695.343499
1946;5654.07;1734.185836
1947;5780.19;1772.868682
1948;6004.24;1841.588089
1949;6164.32;1890.686963
1950;6184.48;1896.870329
1951;6322.9;1939.325765
1952;6514.03;1997.948127
1953;6635.02;2035.057526
1954;6614.16;2028.65946
1955;6558.65;2011.633732
1956;6442.12;1975.89228
1957;6686.1;2050.724508
1958;6847.79;2100.317193
1959;7017.91;2152.495481
1960;7233;2218.466725
1961;7308.93;2241.755565
1962;7398.26;2269.15438
1963;7465.82;2289.876019
1964;7425.49;2277.506219
1965;7546.09;2314.496
1966;7725.33;2325.481
1967;8044.51;2325.95
1968;8124.53;2409.195
1969;8126.24;2496.409
1970;8375.62;2548.678
1971;8255.11;2501.601
1972;7977.29;2538.341
1973;7979.3;2664.725
1974;8090.2;2530.443
1975;8147.45;2385.751
1976;8477.15;2434.388
1977;8117.32;2479.851
1978;7697.89;2494.242
1979;7519.03;2610.981
1980;7438.37;2378.207
1981;7249.77;2312.134
1982;7622.82;2281.731
1983;7909.88;2290.615
1984;7950.21;2289.381
1985;7932.74;2386.37
1986;7881.91;2452.674
1987;8010.96;2448.888
1988;8140.02;2481.023
1989;8089.21;2483.553
1990;8029.81;2503.302
1991;8035.41;2555.905
