Entity;Code;Year;Final energy (pJ);Primary (pJ)
France;FRA;1973;5955;8593
France;FRA;1977;5639;8333
France;FRA;1981;5623;8827
France;FRA;1985;5732;9255
France;FRA;1989;5940;10157
France;FRA;1993;6261;11095
France;FRA;1997;6531;11605
France;FRA;2001;7027;12298
France;FRA;2005;7015;13266
France;FRA;2009;6538;12330
France;FRA;2013;6720;12358
France;FRA;2017;6492;12004
France;FRA;2018;6338;12068
United Kingdom;GBR;1973;5996;10340
United Kingdom;GBR;1977;5778;10184
United Kingdom;GBR;1981;5404;11192
United Kingdom;GBR;1985;5576;12904
United Kingdom;GBR;1989;5830;12080
United Kingdom;GBR;1993;6032;13191
United Kingdom;GBR;1997;6184;14448
United Kingdom;GBR;2001;6316;15100
United Kingdom;GBR;2005;6227;13876
United Kingdom;GBR;2009;5541;12487
United Kingdom;GBR;2013;5434;11558
United Kingdom;GBR;2017;5334;10926
United Kingdom;GBR;2018;5390;11129
China;CHN;1973;15306;18276
China;CHN;1977;19354;23614
China;CHN;1981;20593;25985
China;CHN;1985;23704;31592
China;CHN;1989;27667;37049
China;CHN;1993;30536;41363
China;CHN;1997;33082;49065
China;CHN;2001;33895;53964
China;CHN;2005;51681;78743
China;CHN;2009;64084;101030
China;CHN;2013;78812;127539
China;CHN;2017;83960;133650
China;CHN;2018;86507;141236
Germany;DEU;1973;10119;15560
Germany;DEU;1977;10029;15776
Germany;DEU;1981;10017;15918
Germany;DEU;1985;10397;16407
Germany;DEU;1989;10162;16111
Germany;DEU;1993;9732;15179
Germany;DEU;1997;10009;15770
Germany;DEU;2001;9858;15922
Germany;DEU;2005;9699;16759
Germany;DEU;2009;9101;15372
Germany;DEU;2013;9583;15868
Germany;DEU;2017;9500;16020
Germany;DEU;2018;9323;14461
Canada;CAN;1973;5504;10802
Canada;CAN;1977;6017;9980
Canada;CAN;1981;6305;10003
Canada;CAN;1985;6304;11322
Canada;CAN;1989;6844;13388
Canada;CAN;1993;6875;15189
Canada;CAN;1997;7613;17846
Canada;CAN;2001;7583;19089
Canada;CAN;2005;8133;20495
Canada;CAN;2009;7692;20000
Canada;CAN;2013;8226;22358
Canada;CAN;2017;8310;24875
Canada;CAN;2018;8625;25694
Japan;JPN;1973;9797;14645
Japan;JPN;1977;9874;14773
Japan;JPN;1981;9642;14601
Japan;JPN;1985;10210;15839
Japan;JPN;1989;11687;18032
Japan;JPN;1993;12724;20030
Japan;JPN;1997;13843;22316
Japan;JPN;2001;13935;21936
Japan;JPN;2005;14289;22951
Japan;JPN;2009;12882;20916
Japan;JPN;2013;12808;20194
Japan;JPN;2017;12245;19279
Japan;JPN;2018;11847;19106
United States;USA;1973;55075;75240
United States;USA;1977;55950;81285
United States;USA;1981;53940;78781
United States;USA;1985;53149;77914
United States;USA;1989;55491;86485
United States;USA;1993;55497;88468
United States;USA;1997;60266;95843
United States;USA;2001;63630;101361
United States;USA;2005;65438;103544
United States;USA;2009;60787;100845
United States;USA;2013;62608;102752
United States;USA;2017;63723;108490
United States;USA;2018;66743;115422
World;OWID_WRL;1973;195090;351866
World;OWID_WRL;1977;212563;384701
World;OWID_WRL;1981;223459;390397
World;OWID_WRL;1985;235152;407110
World;OWID_WRL;1989;257987;465092
World;OWID_WRL;1993;265843;499611
World;OWID_WRL;1997;281756;547830
World;OWID_WRL;2001;295983;587808
World;OWID_WRL;2005;334096;672419
World;OWID_WRL;2009;350779;708330
World;OWID_WRL;2013;385584;782098
World;OWID_WRL;2017;406794;824952
World;OWID_WRL;2018;416052;845888
