Entity;Code;Year;Energy
France;FRA;1971;6639.192669
France;FRA;1972;7008.600192
France;FRA;1973;7542.087457
France;FRA;1974;7299.997708
France;FRA;1975;6906.811217
France;FRA;1976;7372.866174
France;FRA;1977;7235.6508
France;FRA;1978;7715.435237
France;FRA;1979;8038.210143
France;FRA;1980;8029.197094
France;FRA;1981;7842.295214
France;FRA;1982;7652.390825
France;FRA;1983;7851.939118
France;FRA;1984;8134.126503
France;FRA;1985;8533.569405
France;FRA;1986;8666.137992
France;FRA;1987;8882.029982
France;FRA;1988;8843.873639
France;FRA;1989;9208.050329
France;FRA;1990;9371.878649
France;FRA;1991;9905.767448
France;FRA;1992;9735.679427
France;FRA;1993;9897.031234
France;FRA;1994;9522.130717
France;FRA;1995;9917.828397
France;FRA;1996;10479.49808
France;FRA;1997;10158.57227
France;FRA;1998;10454.33921
France;FRA;1999;10437.21358
France;FRA;2000;10539.88096
France;FRA;2001;10900.45964
France;FRA;2002;10927.44718
France;FRA;2003;11203.67482
France;FRA;2004;11366.22493
France;FRA;2005;11415.65801
France;FRA;2006;11230.9137
France;FRA;2007;11107.92328
France;FRA;2008;11157.60337
France;FRA;2009;10674.99623
France;FRA;2010;11005.60794
France;FRA;2011;10801.72423
France;FRA;2012;10794.40343
France;FRA;2013;10833.34362
France;FRA;2014;10415.80628
France;FRA;2015;10576.40559
France;FRA;2016;10380.12718
France;FRA;2017;10364.41935
France;FRA;2018;10314.3764
United Kingdom;GBR;1971;8737.003777
United Kingdom;GBR;1972;8801.225823
United Kingdom;GBR;1973;9130.451688
United Kingdom;GBR;1974;8792.990768
United Kingdom;GBR;1975;8347.386194
United Kingdom;GBR;1976;8512.815789
United Kingdom;GBR;1977;8694.507213
United Kingdom;GBR;1978;8648.058732
United Kingdom;GBR;1979;9088.090123
United Kingdom;GBR;1980;8308.337162
United Kingdom;GBR;1981;8056.121642
United Kingdom;GBR;1982;8010.240846
United Kingdom;GBR;1983;7966.106037
United Kingdom;GBR;1984;7965.126175
United Kingdom;GBR;1985;8407.388619
United Kingdom;GBR;1986;8538.432696
United Kingdom;GBR;1987;8607.681631
United Kingdom;GBR;1988;8683.140424
United Kingdom;GBR;1989;8665.820356
United Kingdom;GBR;1990;8622.162319
United Kingdom;GBR;1991;8914.763628
United Kingdom;GBR;1992;8883.256531
United Kingdom;GBR;1993;8973.769892
United Kingdom;GBR;1994;9045.975717
United Kingdom;GBR;1995;9059.609897
United Kingdom;GBR;1996;9449.859185
United Kingdom;GBR;1997;9182.449219
United Kingdom;GBR;1998;9274.623346
United Kingdom;GBR;1999;9297.758569
United Kingdom;GBR;2000;9336.178907
United Kingdom;GBR;2001;9370.351874
United Kingdom;GBR;2002;9238.497794
United Kingdom;GBR;2003;9400.085837
United Kingdom;GBR;2004;9286.553876
United Kingdom;GBR;2005;9330.422103
United Kingdom;GBR;2006;9173.802083
United Kingdom;GBR;2007;8841.234138
United Kingdom;GBR;2008;8743.154647
