Entity;Code;Year;Total energy supply (ktoe);Primary energy consumption (pJ)
France;FRA;1971;158574.3926;6639.192669
France;FRA;1972;167397.5397;7008.600192
France;FRA;1973;180139.6641;7542.087457
France;FRA;1974;174357.4498;7299.997708
France;FRA;1975;164966.3518;6906.811217
France;FRA;1976;176097.8832;7372.866174
France;FRA;1977;172820.5503;7235.6508
France;FRA;1978;184280.0047;7715.435237
France;FRA;1979;191989.3509;8038.210143
France;FRA;1980;191774.0779;8029.197094
France;FRA;1981;187310.0032;7842.295214
France;FRA;1982;182774.2148;7652.390825
France;FRA;1983;187540.3439;7851.939118
France;FRA;1984;194280.2738;8134.126503
France;FRA;1985;203820.8036;8533.569405
France;FRA;1986;206987.1499;8666.137992
France;FRA;1987;212143.6415;8882.029982
France;FRA;1988;211232.2929;8843.873639
France;FRA;1989;219930.5037;9208.050329
France;FRA;1990;223843.4759;9371.878649
France;FRA;1991;236595.1908;9905.767448
France;FRA;1992;232532.7082;9735.679427
France;FRA;1993;236386.5299;9897.031234
France;FRA;1994;227432.1849;9522.130717
France;FRA;1995;236883.2616;9917.828397
France;FRA;1996;250298.5116;10479.49808
France;FRA;1997;242633.3302;10158.57227
France;FRA;1998;249697.6023;10454.33921
France;FRA;1999;249288.5635;10437.21358
France;FRA;2000;251740.7318;10539.88096
France;FRA;2001;260353.0057;10900.45964
France;FRA;2002;260997.5919;10927.44718
France;FRA;2003;267595.1757;11203.67482
France;FRA;2004;271477.6185;11366.22493
France;FRA;2005;272658.3074;11415.65801
France;FRA;2006;268245.7653;11230.9137
France;FRA;2007;265308.1895;11107.92328
France;FRA;2008;266494.7782;11157.60337
France;FRA;2009;254967.9047;10674.99623
France;FRA;2010;262864.4296;11005.60794
France;FRA;2011;257994.7509;10801.72423
France;FRA;2012;257819.8965;10794.40343
France;FRA;2013;258749.9671;10833.34362
France;FRA;2014;248777.259;10415.80628
France;FRA;2015;252613.1076;10576.40559
France;FRA;2016;247925.0784;10380.12718
France;FRA;2017;247549.9033;10364.41935
France;FRA;2018;246354.6479;10314.3764
United Kingdom;GBR;1971;208679.7501;8737.003777
United Kingdom;GBR;1972;210213.6673;8801.225823
United Kingdom;GBR;1973;218077.092;9130.451688
United Kingdom;GBR;1974;210016.9764;8792.990768
United Kingdom;GBR;1975;199373.894;8347.386194
United Kingdom;GBR;1976;203325.112;8512.815789
United Kingdom;GBR;1977;207664.7371;8694.507213
United Kingdom;GBR;1978;206555.3342;8648.058732
United Kingdom;GBR;1979;217065.3034;9088.090123
United Kingdom;GBR;1980;198441.2239;8308.337162
United Kingdom;GBR;1981;192417.1597;8056.121642
United Kingdom;GBR;1982;191321.3157;8010.240846
United Kingdom;GBR;1983;190267.1739;7966.106037
United Kingdom;GBR;1984;190243.7703;7965.126175
United Kingdom;GBR;1985;200807.0273;8407.388619
United Kingdom;GBR;1986;203936.9613;8538.432696
United Kingdom;GBR;1987;205590.9437;8607.681631
United Kingdom;GBR;1988;207393.246;8683.140424
United Kingdom;GBR;1989;206979.5633;8665.820356
United Kingdom;GBR;1990;205936.809;8622.162319
United Kingdom;GBR;1991;212925.4712;8914.763628
United Kingdom;GBR;1992;212172.9371;8883.256531
United Kingdom;GBR;1993;214334.8116;8973.769892
United Kingdom;GBR;1994;216059.4181;9045.975717
United Kingdom;GBR;1995;216385.0649;9059.609897
United Kingdom;GBR;1996;225706.009;9449.859185
United Kingdom;GBR;1997;219319.0317;9182.449219
United Kingdom;GBR;1998;221520.5729;9274.623346
United Kingdom;GBR;1999;222073.1482;9297.758569
United Kingdom;GBR;2000;222990.8022;9336.178907
United Kingdom;GBR;2001;223807.0095;9370.351874
United Kingdom;GBR;2002;220657.7289;9238.497794
United Kingdom;GBR;2003;224517.193;9400.085837
United Kingdom;GBR;2004;221805.5287;9286.553876
United Kingdom;GBR;2005;222853.3033;9330.422103
United Kingdom;GBR;2006;219112.4984;9173.802083
United Kingdom;GBR;2007;211169.2495;8841.234138
United Kingdom;GBR;2008;208826.6611;8743.154647
United Kingdom;GBR;2009;196363.8111;8221.360043
United Kingdom;GBR;2010;203666.1622;8527.094879
United Kingdom;GBR;2011;188830.886;7905.971535
United Kingdom;GBR;2012;193864.2104;8116.706761
United Kingdom;GBR;2013;191041.2374;7998.514527
United Kingdom;GBR;2014;179974.8042;7535.185102
United Kingdom;GBR;2015;181743.3227;7609.229435
United Kingdom;GBR;2016;178727.778;7482.974609
United Kingdom;GBR;2017;176142.483;7374.733478
United Kingdom;GBR;2018;175211.5974;7335.75916
China;CHN;1990;873640.1081;36577.56405
China;CHN;1991;847995.0738;35503.85775
China;CHN;1992;876830.5833;36711.14286
China;CHN;1993;928803.2636;38887.13504
China;CHN;1994;972771.8787;40728.01302
China;CHN;1995;1044449.324;43729.0043
China;CHN;1996;1073472.074;44944.12879
China;CHN;1997;1073048.678;44926.40205
China;CHN;1998;1078409.751;45150.85945
China;CHN;1999;1098613.057;45996.73147
China;CHN;2000;1129872.817;47305.5151
China;CHN;2001;1168295.322;48914.18854
China;CHN;2002;1245796.999;52159.02875
China;CHN;2003;1419644.579;59437.67923
China;CHN;2004;1614658.346;67602.51563
China;CHN;2005;1781419.266;74584.46183
China;CHN;2006;1948768.969;81591.05919
China;CHN;2007;2097548.534;87820.16202
China;CHN;2008;2153955.94;90181.8273
China;CHN;2009;2296879.027;96165.7311
China;CHN;2010;2536203.816;106185.7814
China;CHN;2011;2722113.899;113969.4647
China;CHN;2012;2819890.646;118063.1816
China;CHN;2013;2910753.196;121867.4148
China;CHN;2014;2964657.964;124124.2996
China;CHN;2015;2991430.055;125245.1935
China;CHN;2016;2970861.534;124384.0307
China;CHN;2017;3064901.777;128321.3076
China;CHN;2018;3196418.366;133827.6441
Germany;DEU;1971;305053.9033;12771.99682
Germany;DEU;1972;316124.0052;13235.47985
Germany;DEU;1973;334704.0276;14013.38823
Germany;DEU;1974;328377.9517;13748.52808
Germany;DEU;1975;313522.2016;13126.54754
Germany;DEU;1976;338001.8478;14151.46136
Germany;DEU;1977;338918.4334;14189.83697
Germany;DEU;1978;350166.1126;14660.7548
Germany;DEU;1979;366057.7112;15326.10425
Germany;DEU;1980;357188.0809;14954.75057
Germany;DEU;1981;344966.8805;14443.07335
Germany;DEU;1982;333542.8504;13964.77206
Germany;DEU;1983;333455.2103;13961.10274
Germany;DEU;1984;346318.5511;14499.6651
Germany;DEU;1985;357186.2543;14954.6741
Germany;DEU;1986;356648.3115;14932.15151
Germany;DEU;1987;359350.9197;15045.30431
Germany;DEU;1988;361753.9781;15145.91556
Germany;DEU;1989;355573.1921;14887.13841
Germany;DEU;1990;351233.2494;14705.43369
Germany;DEU;1991;344316.7011;14415.85164
Germany;DEU;1992;337903.9342;14147.36192
Germany;DEU;1993;334612.9201;14009.57374
Germany;DEU;1994;333018.2793;13942.80932
Germany;DEU;1995;336504.7797;14088.78212
Germany;DEU;1996;347915.263;14566.51623
Germany;DEU;1997;344839.0941;14437.72319
Germany;DEU;1998;342755.3272;14350.48004
Germany;DEU;1999;334978.5355;14024.88132
Germany;DEU;2000;336596.8595;14092.63731
Germany;DEU;2001;346693.2667;14515.35369
Germany;DEU;2002;338913.6627;14189.63723
Germany;DEU;2003;338099.4346;14155.54713
Germany;DEU;2004;340925.0974;14273.85198
Germany;DEU;2005;338939.4779;14190.71806
Germany;DEU;2006;348941.6248;14609.48795
Germany;DEU;2007;331018.4482;13859.08039
Germany;DEU;2008;335163.5827;14032.62888
Germany;DEU;2009;312999.9246;13104.68084
Germany;DEU;2010;329547.2004;13797.48219
Germany;DEU;2011;312419.9398;13080.39804
Germany;DEU;2012;314741.5701;13177.60006
Germany;DEU;2013;321468.3129;13459.23532
Germany;DEU;2014;307283.8428;12865.35993
Germany;DEU;2015;308844.8514;12930.71624
Germany;DEU;2016;310060.6951;12981.62118
Germany;DEU;2017;311054.3393;13023.22308
Germany;DEU;2018;302079.243;12647.45375
Canada;CAN;1971;141360.3056;5918.473275
Canada;CAN;1972;152503.6217;6385.021633
Canada;CAN;1973;159354.4186;6671.850798
Canada;CAN;1974;161716.8193;6770.75979
Canada;CAN;1975;165955.3308;6948.21779
Canada;CAN;1976;171044.1091;7161.27476
Canada;CAN;1977;176325.5104;7382.396469
Canada;CAN;1978;181211.8645;7586.978343
Canada;CAN;1979;190286.4866;7966.914621
Canada;CAN;1980;191962.3381;8037.079172
Canada;CAN;1981;187520.6486;7851.114516
Canada;CAN;1982;180183.8466;7543.937289
Canada;CAN;1983;179519.3999;7516.118235
Canada;CAN;1984;188705.3001;7900.713505
Canada;CAN;1985;193010.011;8080.943141
Canada;CAN;1986;196325.0135;8219.735665
Canada;CAN;1987;202859.5079;8493.321877
Canada;CAN;1988;211288.9513;8846.245813
Canada;CAN;1989;217239.7743;9095.39487
Canada;CAN;1990;211279.2609;8845.840095
Canada;CAN;1991;210768.972;8824.47532
Canada;CAN;1992;215726.4758;9032.036089
Canada;CAN;1993;222886.8404;9331.826234
Canada;CAN;1994;230791.4955;9662.778334
Canada;CAN;1995;233882.144;9792.177605
Canada;CAN;1996;238525.6263;9986.590922
Canada;CAN;1997;241028.5399;10091.38291
Canada;CAN;1998;239828.5446;10041.14151
Canada;CAN;1999;246463.84;10318.94805
Canada;CAN;2000;253656.6606;10620.09707
Canada;CAN;2001;250013.494;10467.56497
Canada;CAN;2002;250758.6908;10498.76487
Canada;CAN;2003;263969.2422;11051.86423
Canada;CAN;2004;270578.191;11328.5677
Canada;CAN;2005;273988.3606;11471.34468
Canada;CAN;2006;278154.605;11645.777
Canada;CAN;2007;277877.8187;11634.18851
Canada;CAN;2008;270943.6233;11343.86762
Canada;CAN;2009;260475.5725;10905.59127
Canada;CAN;2010;260775.9235;10918.16637
Canada;CAN;2011;266620.7389;11162.8771
