Year;Afrique;AmNord;AmLat;Asie;Europe Est;Europe Ouest;Oceanie;Monde
1800;21;16;9;151;50;59;0.1;305
1810;22;22;9;163;54;61;0.1;332
1820;22;30;10;178;59;65;0.1;364
1830;23;41;11;180;66;69;0.2;391
1840;24;57;13;184;72;80;0.2;431
1850;25;82;15;187;79;94;0.3;483
1860;26;101;16;189;86;122;0.6;541
1870;27;118;18;191;96;156;0.9;607
1880;28;144;21;205;122;206;1.2;728
1890;30;191;25;222;148;261;2.1;880
1900;33;238;30;242;209;335;4.3;1091
1910;41;397;42;264;233;409;7.3;1394
1920;51;506;51;286;144;365;11;1413
1930;63;572;67;320;184;433;14;1653
1940;77;601;88;359;243;441;18;1827
1950;94;861;115;369;263;428;24;2153
1960;125;1112;166;707;542;634;38;3323
1970;181;1684;238;1057;924;1047;58;5189
1980;285;1890;399;1615;1419;1225;83;6916
1990;395;2002;474;2392;1576;1255;106;8200
2000;480;2392;593;3145;1153;1361;119;9242
