Year,GDP per capita,Entity,Code,Population,Primary energy (PJ),Primary energy (TWh),Energy(PJ)-Time(Year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),GDP(2011$)-Time(year)
1820,1441.0,Canada,CAN,879432,144.97,46.68072638,479.33155896094166,489.3992311552306,973396914.4004817,19720193235.175194
1830,1594.0,Canada,CAN,1202146,186.391,60.01839878,510.5163131447846,496.9804602352414,883764390.4158995,21110636553.873688
1840,1852.0,Canada,CAN,1745604,228.89,73.70319005,546.0411134168303,512.376324853725,794131866.4313143,22712030118.082672
1850,2120.0,Canada,CAN,2487811,262.124,84.40462663,586.8797409896466,536.2846230491302,704499342.4467322,24576320745.888485
1860,2313.0,Canada,CAN,3231338,444.36699999999996,143.0873584,634.3208440005832,562.1029666549999,614866818.46215,26774036448.05745
1870,2702.0,Canada,CAN,3816868,502.582,161.8327435,690.1063928722299,595.5015793457252,525234294.4775677,29403410361.104538
1871,2797.0,Canada,CAN,3868146,507.89,163.5419337,696.2294045691996,601.463649743672,516271042.0791086,29695033729.84003
1872,2718.0,Canada,CAN,3920032,513.198,165.25112380000002,702.4620425327514,599.5245097742616,507307789.6806495,29992499693.481495
1873,2936.0,Canada,CAN,3967856,518.506,166.96031399999998,708.807277476071,611.2537862263234,498344537.28219044,30295985610.897976
1874,2955.0,Canada,CAN,4021901,523.814,168.66950409999998,715.2681884267705,614.026729667199,489381284.8837342,30605676092.923088
1875,2844.0,Canada,CAN,4076784,529.122,170.37869419999998,721.8479677088301,610.6021740136719,480418032.48527515,30921763376.836845
1876,2616.0,Canada,CAN,4132060,534.43,172.0878844,728.549926202069,601.3489198361619,471454780.0868161,31244447724.29491
1877,2753.0,Canada,CAN,4186355,539.95,173.86533909999997,735.3774988973486,609.7844742188878,462491527.688357,31573937844.436165
1878,2609.0,Canada,CAN,4243321,546.143,175.8595016,742.3342507670927,604.4293030332288,453528275.2899008,31910451344.047047
1879,2813.0,Canada,CAN,4300612,552.336,177.85366409999997,749.4238829722053,616.5384757296038,444565022.8914417,32254215206.82297
1880,2895.0,Canada,CAN,4359836,558.529,179.8478266,756.6502394280907,622.7236933083382,435601770.4929826,32605466303.944965
1881,3252.0,Canada,CAN,4420843,575.821,185.4158967,764.0173137542514,643.4550923777372,426638518.09452355,32964451938.384884
1882,3362.0,Canada,CAN,4477396,594.399,191.3980622,771.5292566338643,651.4549481482616,417675265.6960673,33331430425.567707
1883,3331.0,Canada,CAN,4533544,612.977,197.38022769999998,779.1903836118302,652.0255313920642,408712013.2976082,33706671713.256016
1884,3556.0,Canada,CAN,4592456,631.555,203.3623933,787.0051833620819,666.5799311155054,399748760.8991491,34090458043.782677
1885,3304.0,Canada,CAN,4648126,642.012,206.7295751,794.9783264574284,655.0566104940547,390785508.5006929,34483084662.04597
1886,3308.0,Canada,CAN,4702409,642.012,206.7295751,803.1146746779378,657.4017526393378,381822256.1022338,34884860572.99948
1887,3379.0,Canada,CAN,4755423,642.012,206.7295751,811.4192908968419,663.4748658651116,372859003.70377475,35296109352.721115
1888,3585.0,Canada,CAN,4806813,642.012,206.7295751,819.8974495861999,677.2631466404829,363895751.3053157,35717170017.53542
1889,3569.0,Canada,CAN,4857471,642.012,206.7295751,828.5546479881314,678.494627862631,354932498.90685946,36148397956.09553
1890,3790.0,Canada,CAN,4907308,642.012,206.7295751,837.3966180013358,693.4676304729444,345969246.5084004,36590165929.81062
1891,3840.0,Canada,CAN,4957140,642.012,206.7295751,846.4293388369078,698.6513837269906,337005994.1099413,37042865147.5382
1892,3779.0,Canada,CAN,5007511,642.012,206.7295751,855.6590505021684,697.3213870748684,328042741.7114822,37506906421.05314
1893,3720.0,Canada,CAN,5058511,642.012,206.7295751,865.0922681764118,696.0664228521655,319079489.313026,37982721408.466965
1894,3857.0,Canada,CAN,5109961,642.012,206.7295751,874.7357975481659,706.6519175224762,310116236.91456693,38470763953.50778
1895,3779.0,Canada,CAN,5163400,642.012,206.7295751,884.596751189839,704.3163459225825,301152984.51610786,38971511529.39512
1896,3647.0,Canada,CAN,5219192,642.012,206.7295751,894.6825660525508,698.6392223445121,292189732.1176516,39485466796.965454
1897,4004.0,Canada,CAN,5280421,642.012,206.7295751,905.0010221715793,723.6931824251315,283226479.7191925,40013159287.736595
1898,4117.0,Canada,CAN,5351891,642.012,206.7295751,915.5602626813002,734.293663943663,274263227.3207334,40555147223.75714
1899,4457.0,Canada,CAN,5435234,645.057,207.71007319999998,926.3688152478325,760.398149101734,266829510.094945,41112019487.38855
1900,4640.0,Canada,CAN,5529722,668.28,215.1879411,937.4356150379456,777.4976672389192,264769412.03252196,41684397755.631966
1901,4937.0,Canada,CAN,5630366,691.503,222.665809,948.7700293542501,803.0607871132727,262709313.97009817,42272938815.26203
1902,5310.0,Canada,CAN,5719032,714.725,230.14335490000002,960.3818840794291,833.842448701927,260649215.90767512,42878337076.893394
1903,5314.0,Canada,CAN,5859590,737.948,237.6212228,972.2814920864105,843.0716734754457,258589117.84525135,43501327308.212265
1904,5228.0,Canada,CAN,6017754,772.005,248.5876676,984.479683787135,846.945330089802,256529019.78282827,44142687608.9918
1905,5678.0,Canada,CAN,6187646,811.347,261.25589640000004,996.9878400101207,891.0660796212028,254468921.7204052,44803242653.21781
1906,6130.0,Canada,CAN,6370374,850.689,273.9241253,1009.8179274166068,938.2608020402229,252408823.65798143,45483867226.729324
1907,6177.0,Canada,CAN,6551200,927.08,298.5222309,1022.9825366869356,955.3611065839892,250348725.59555838,46185490092.28375
1908,5694.0,Canada,CAN,6754675,994.0830000000001,320.0973755,1036.4949237333174,931.1516888492247,248288627.53313458,46909098217.95594
1909,6137.0,Canada,CAN,6979267,994.0830000000001,320.0973755,1050.3690542225465,983.9548206236858,246228529.47071153,47655741409.353004
1910,6481.0,Canada,CAN,7179510,1028.397,331.14657489999996,1064.6196517230153,1028.7720775862697,244168431.40828773,48426537391.36482
1911,6715.0,Canada,CAN,7377339,1125.003,362.2539644,1079.2622498249652,1065.3132780052615,242108333.34586468,49222677391.18322
