Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),EI(PJ/$)-Time(year)
1850,1706.0,Spain,ESP,14846857,Spain,ESP,241.83413355599998,209.103210968677,28745771433.709126,92342662.2122292
1851,1720.0,Spain,ESP,14931434,Spain,ESP,238.02034989600003,210.558101000542,28965614230.29476,91303541.4670152
1852,1785.0,Spain,ESP,15014209,Spain,ESP,234.20656620000005,212.0333784354476,29188845583.01299,90264420.72180153
1853,1785.0,Spain,ESP,15095182,Spain,ESP,232.87804095599998,213.52947483073288,29415544444.813446,89225299.97658753
1854,1804.0,Spain,ESP,15174304,Spain,ESP,232.87804095599998,215.04683401047419,29645792240.637077,88186179.23137385
1855,1892.0,Spain,ESP,15251576,Spain,ESP,232.87804095599998,216.58591250444684,29879672964.925976,87147058.48615986
1856,1800.0,Spain,ESP,15326997,Spain,ESP,232.87804095599998,218.14718000607297,30117273283.785496,86107937.74094617
1857,1742.0,Spain,ESP,15400519,Spain,ESP,232.87804095599998,219.73111985031915,30358682642.05978,85068816.99573217
1858,1774.0,Spain,ESP,15472095,Spain,ESP,232.87804095599998,221.33822951256693,30603993375.59858,84029696.25051849
1859,1862.0,Spain,ESP,15541724,Spain,ESP,233.17008746399998,222.96902112953634,30853300829.011333,82990575.5053045
1860,1930.0,Spain,ESP,15609406,Spain,ESP,235.840226868,224.62402204340944,31106703479.22411,81951454.76009081
1861,1932.0,Spain,ESP,15675093,Spain,ESP,238.51036627199997,226.30377537036736,31364303065.175674,80912334.01487681
1862,1932.0,Spain,ESP,15739691,Spain,ESP,241.179687612,228.00884059482925,31626204724.01156,79873213.26966313
1863,1959.0,Spain,ESP,15803150,Spain,ESP,241.83413355599998,229.73979419075846,31892517134.1592,78834092.52444945
1864,1946.0,Spain,ESP,15865471,Spain,ESP,241.83413355599998,231.49723027148548,32163352665.69316,77794971.77923545
1865,1865.0,Spain,ESP,15926702,Spain,ESP,241.83413355599998,233.2817612695863,32438827538.427437,76755851.03402178
1866,1977.0,Spain,ESP,15986795,Spain,ESP,241.83413355599998,235.09401864845105,32719061988.202293,75716730.28880776
1867,1946.0,Spain,ESP,16045749,Spain,ESP,241.83413355599998,236.93465364727908,33004180441.86526,74677609.54359409
1868,1701.0,Spain,ESP,16104709,Spain,ESP,241.83413355599998,238.80433806134735,33294311701.481506,73638488.7983801
1869,1760.0,Spain,ESP,16164627,Spain,ESP,241.83413355599998,240.70376505951575,33589589138.346405,72599368.05316642
1870,1809.0,Spain,ESP,16226123,Spain,ESP,241.83413355599998,242.63365004105964,33890150897.414337,71560247.30795242
1871,1948.0,Spain,ESP,16289245,Spain,ESP,241.83413355599998,244.5947315340543,34196140112.802017,70521126.56273873
1872,2246.0,Spain,ESP,16354042,Spain,ESP,239.48058236399999,246.58777213768093,34507705135.072716,69482005.81752475
1873,2428.0,Spain,ESP,16413402,Spain,ESP,235.030350024,248.6135595109816,34824999771.05958,68442885.07231106
1874,2216.0,Spain,ESP,16481160,Spain,ESP,234.40862638800002,250.67290741075388,35148183537.04263,67403764.32709706
1875,2276.0,Spain,ESP,16550926,Spain,ESP,237.37490258400004,252.76665678146097,35477421926.15507,66364643.58188338
1876,2346.0,Spain,ESP,16622648,Spain,ESP,240.341996844,254.89567690022193,35812886690.960655,65325522.836669706
1877,2601.0,Spain,ESP,16687381,Spain,ESP,241.83413355599998,257.06086658015846,36154756142.216095,64286402.0914557
1878,2495.0,Spain,ESP,16763167,Spain,ESP,241.83413355599998,259.26315543559747,36503215464.91006,63247305.32178866
1879,2316.0,Spain,ESP,16841198,Spain,ESP,242.32987634399998,261.5035052128708,36858457052.75612,63196800.67655416
1880,2520.0,Spain,ESP,16921004,Spain,ESP,245.666732544,263.78291119071486,37220680862.40882,63146296.031319655
1881,2538.0,Spain,ESP,16995824,Spain,ESP,249.00440680799997,266.1024036545544,37590094788.77333,63095791.38608515
1882,2547.0,Spain,ESP,17079976,Spain,ESP,250.79104421999997,268.4630494492576,37966915062.88858,63045286.740850635
1883,2582.0,Spain,ESP,17165536,Spain,ESP,250.79104421999997,270.86595361528026,38351366673.984314,62994782.095616125
1884,2590.0,Spain,ESP,17253528,Spain,ESP,250.79104421999997,273.3122611134702,38743683817.442696,62944277.45038162
1885,2493.0,Spain,ESP,17343598,Spain,ESP,255.46624235999994,275.80315864418765,39144110370.53884,62893772.805147104
1886,2436.0,Spain,ESP,17432828,Spain,ESP,263.09462778,278.3398765668155,39552900397.99079,62843268.159912586
1887,2381.0,Spain,ESP,17524602,Spain,ESP,268.704865512,280.923690926181,39970318689.52132,62792763.51467807
1888,2475.0,Spain,ESP,17612176,Spain,ESP,268.704865512,283.5559255929024,40396641331.82133,62742258.869443566
1889,2469.0,Spain,ESP,17698572,Spain,ESP,268.704865512,286.2379545252028,40832156317.511246,62691754.22420906
1890,2463.0,Spain,ESP,17783792,Spain,ESP,272.580821568,288.97120416031134,41277164193.92289,62641249.57897456
1891,2509.0,Spain,ESP,17867926,Spain,ESP,279.255352032,291.7571559441953,41731978754.77313,62590744.93374004
1892,2719.0,Spain,ESP,17950884,Spain,ESP,285.929882496,294.5973490090514,42196927778.0745,62540240.28850553
1893,2603.0,Spain,ESP,18032664,Spain,ESP,286.61868684000007,297.49338300872324,42672353813.92925,62489735.64327103
1894,2633.0,Spain,ESP,18114000,Spain,ESP,286.61868684000007,300.44692112302,43158615026.186104,62439230.99803651
1895,2589.0,Spain,ESP,18195704,Spain,ESP,291.862434888,303.45969324279207,43656086092.30536,62388726.35280201
1896,2330.0,Spain,ESP,18278692,Spain,ESP,297.795805308,306.5334993485816,44165159166.184074,62338221.707567476
1897,2469.0,Spain,ESP,18366240,Spain,ESP,303.7283577,309.670213096711,44686244909.14083,62287717.06233297
1898,2628.0,Spain,ESP,18458444,Spain,ESP,313.765104168,312.8717856278248,45219773594.75694,62237212.41709847
1899,2636.0,Spain,ESP,18555304,Spain,ESP,324.444025692,316.1402496141496,45766196293.821014,62186707.77186397
1900,2676.0,Spain,ESP,18652444,Spain,ESP,337.604115348,319.4777235631147,46325986146.23563,62136203.12662945
1901,2885.0,Spain,ESP,18758888,Spain,ESP,355.402590552,322.8864163964796,46899639727.423836,62085698.48139494
1902,2740.0,Spain,ESP,18857048,Spain,ESP,347.07722022,326.36863232576695,47487678517.52975,62035193.836160436
1903,2713.0,Spain,ESP,18974620,Spain,ESP,333.728159292,329.92677604661407,48090650482.54952,61984689.19092592
