Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1820,1809.0,France,FRA,31549988,France,FRA,149.1530361,525.1698583125583,77694305312.58675,540.635707744469,9.047330469790812e-09,536.95092996
1821,1953.0,France,FRA,31700048,France,FRA,150.1528544,528.5220962849655,78172000464.19211,586.485164552357,9.010802781164858e-09,540.55027584
1822,1875.0,France,FRA,31853160,France,FRA,151.1526726,531.9174048589991,78655606071.00632,565.7923726096775,8.974275092538902e-09,544.14962136
1823,1934.0,France,FRA,32007456,France,FRA,152.15222480000003,535.3566194785163,79145232509.71881,586.4116385877721,8.937747403912954e-09,547.7480092800001
1824,1986.0,France,FRA,32163920,France,FRA,153.1089429,538.8405973348805,79640992922.58766,605.0747875260192,8.901219715287e-09,551.19219444
1825,1898.0,France,FRA,32322538,France,FRA,153.1089429,542.3702180792361,80143003304.60231,581.1681090349811,8.864692026661043e-09,551.19219444
1826,1949.0,France,FRA,32485056,France,FRA,153.1089429,545.9463845629613,80651382593.96349,599.7475334296843,8.828164338035095e-09,551.19219444
1827,1908.0,France,FRA,32651510,France,FRA,153.1089429,549.5700236076079,81166252766.02919,590.1626018536776,8.791636649409141e-09,551.19219444
1828,1897.0,France,FRA,32821932,France,FRA,153.50695459999997,553.242086805711,81687738930.882,589.8234048894238,8.755108960783185e-09,552.6250365599999
1829,1946.0,France,FRA,32996352,France,FRA,154.3702889,556.9635513539152,82215969434.68187,608.2211699888818,8.718581272157237e-09,555.73304004
1830,1898.0,France,FRA,33174810,France,FRA,155.23362319999998,560.7354209199572,82751075964.97705,596.4639680103814,8.682053583531282e-09,558.84104352
1831,1926.0,France,FRA,33356190,France,FRA,156.0972235,564.5587265451142,83293193660.15424,608.5337267384874,8.645525894905326e-09,561.9500046
1832,2091.0,France,FRA,33535144,France,FRA,156.96055780000003,568.4345275838273,83842461223.21954,663.8442068883935,8.608998206279378e-09,565.0580080800001
1833,2053.0,France,FRA,33711000,France,FRA,159.78175869999998,572.3639126822943,84399021040.11101,655.2709007604976,8.572470517653424e-09,575.2143313199999
1834,2056.0,France,FRA,33884048,France,FRA,164.3043533,576.3480007979352,84963019302.75491,659.5610208106436,8.535942829027468e-09,591.49567188
1835,2125.0,France,FRA,34054192,France,FRA,168.8272139,580.3879422617322,85534606137.08945,684.8689563184865,8.49941514040152e-09,607.77797004
1836,2090.0,France,FRA,34219856,France,FRA,173.3498085,584.4849198855646,86113935736.29071,676.9481578356413,8.462887451775565e-09,624.0593106
1837,2118.0,France,FRA,34382760,France,FRA,177.8726692,588.6401501167783,86701166499.44995,689.1516447955395,8.42635976314961e-09,640.3416091199999
1838,2211.0,France,FRA,34542856,France,FRA,178.62718869999998,592.8548842423547,87296461175.96371,722.3315363063671,8.389832074523661e-09,643.05787932
