Year,Real GDP per capita ,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1800,2331.73,United Kingdom,GBR,12327466,United Kingdom,GBR,159.69095819999998,0.7264630751277951,79262502873.54199,1029.2307980593466,7.21855633716771e-08,574.8874495199999
1801,2338.0801,United Kingdom,GBR,12483870,United Kingdom,GBR,160.9914281,0.7412642243742232,79674810214.53186,1114.04736983014,7.248016007403527e-08,579.5691411600001
1802,2348.02,United Kingdom,GBR,12642258,United Kingdom,GBR,162.29496509999998,0.756366936117796,80091429462.22752,1208.3982255563708,7.277475677639335e-08,584.26187436
1803,2271.52,United Kingdom,GBR,12802656,United Kingdom,GBR,163.5954351,0.7717773544719261,80512428613.00786,1093.6754541456985,7.30693534787515e-08,588.94356636
1804,2239.8501,United Kingdom,GBR,12965089,United Kingdom,GBR,164.89897209999998,0.7875017487318037,80937877100.49353,1085.7285359982461,7.33639501811096e-08,593.63629956
1805,2336.9299,United Kingdom,GBR,13129582,United Kingdom,GBR,168.0581325,0.8035465159249006,81367845833.72253,1397.0832321182195,7.365854688346776e-08,605.009277
1806,2291.8201,United Kingdom,GBR,13296163,United Kingdom,GBR,171.7693792,0.8199181834133875,81802407236.54893,1357.4531784591886,7.395314358582584e-08,618.36976512
1807,2405.8101,United Kingdom,GBR,13464857,United Kingdom,GBR,175.47755880000003,0.8366234115496243,82241635288.31105,1716.413415345608,7.4247740288184e-08,631.7192116800001
1808,2261.0901,United Kingdom,GBR,13635691,United Kingdom,GBR,179.1888055,0.8536689963857537,82685605565.81674,1425.0166556867584,7.45423369905421e-08,645.0796998000001
1809,2301.1299,United Kingdom,GBR,13808693,United Kingdom,GBR,183.295714,0.8710618724384503,83134395286.69609,1601.5883987670386,7.483693369290025e-08,659.8645704
1810,2420.1101,United Kingdom,GBR,14106058,United Kingdom,GBR,188.2430206,0.8888091155100498,83588083354.17355,2036.9170217609508,7.513153039525835e-08,677.67487416
1811,2363.5601,United Kingdom,GBR,14301320,United Kingdom,GBR,193.1903271,0.9069179455671598,84046750403.3142,1975.5386706650224,7.54261270976165e-08,695.48517756
1812,2237.1899,United Kingdom,GBR,14500244,United Kingdom,GBR,198.13763369999998,0.9253957296778622,84510478848.80087,1724.913981004836,7.57207237999746e-08,713.2954813199999
1813,2322.78,United Kingdom,GBR,14702894,United Kingdom,GBR,202.78435990000003,0.9442499850088161,84979352934.30191,2039.3550355256275,7.601532050233274e-08,730.0236956400001
1814,2241.1799,United Kingdom,GBR,14909411,United Kingdom,GBR,207.4218847,0.9634883818834258,85453458783.49127,1904.5859999004927,7.630991720469085e-08,746.71878492
1815,2436.8,United Kingdom,GBR,15119712,United Kingdom,GBR,212.05940950000002,0.9831187469022572,85932884452.78621,2524.1537893594054,7.660451390704899e-08,763.4138742000001
1816,2271.3,United Kingdom,GBR,15333999,United Kingdom,GBR,216.0528336,1.0031490661270877,86417719985.87025,2162.2924849071637,7.689911060940715e-08,777.7902009600001
1817,2271.8301,United Kingdom,GBR,15551268,United Kingdom,GBR,219.14451680000002,1.0235874883298341,86908057470.07225,2252.982680112182,7.719370731176524e-08,788.9202604800001
1818,2236.72,United Kingdom,GBR,15771669,United Kingdom,GBR,222.2362,1.0444423283076079,87403991094.67593,2243.4163323678117,7.74883040141234e-08,800.05032
1819,2166.74,United Kingdom,GBR,15995162,United Kingdom,GBR,225.3278832,1.0657220702653785,87905617211.23715,2131.333836210647,7.778290071648149e-08,811.18037952
1820,2312.04,United Kingdom,GBR,16221883,United Kingdom,GBR,229.3059716,1.087435371267554,88413034395.99036,2641.5653325997037,7.807749741883964e-08,825.50149776
1821,2312.3701,United Kingdom,GBR,16451787,United Kingdom,GBR,233.4282159,1.109591064759822,88926343514.4288,2736.301785973839,7.837209412119774e-08,840.34157724
1822,2317.28,United Kingdom,GBR,16682172,United Kingdom,GBR,237.5504602,1.1321981641628083,89445647788.14766,2844.1813121085274,7.866669082355589e-08,855.18165672
1823,2347.71,United Kingdom,GBR,16912988,United Kingdom,GBR,241.6757716,1.15526586653896,89971052864.04288,3027.0209961430483,7.896128752591398e-08,870.0327777599999
1824,2439.7,United Kingdom,GBR,17144280,United Kingdom,GBR,247.5524234,1.1788035563340613,90502666885.96333,3391.1703776809136,7.925588422827214e-08,891.18872424
1825,2455.26,United Kingdom,GBR,17375946,United Kingdom,GBR,253.7388569,1.2028208091950567,91040600568.9184,3532.8030934894787,7.955048093063023e-08,913.45988484
1826,2292.0601,United Kingdom,GBR,17608040,United Kingdom,GBR,259.64311299999997,1.2273273958656594,91584967275.94754,3139.7262336263316,7.98450776329884e-08,934.7152067999999
1827,2438.0601,United Kingdom,GBR,17839930,United Kingdom,GBR,264.283705,1.2523332861612515,92135883097.7647,3672.8468274666952,8.013967433534648e-08,951.421338
1828,2406.6101,United Kingdom,GBR,18071524,United Kingdom,GBR,268.9212298,1.2778486530248485,92693466935.29422,3672.22503254814,8.043427103770465e-08,968.11642728
1829,2393.5,United Kingdom,GBR,18302902,United Kingdom,GBR,273.5587546,1.3038838766657026,93257840585.22221,3725.27014646217,8.072886774006273e-08,984.81151656
1830,2467.7,United Kingdom,GBR,18534000,United Kingdom,GBR,278.9293273,1.3304495487821448,93829128828.69226,4044.867125290316,8.102346444242089e-08,1004.1455782800001
1831,2509.5901,United Kingdom,GBR,18764508,United Kingdom,GBR,284.7507705,1.3575564768705455,94407459523.2813,4266.16824732018,8.131806114477898e-08,1025.1027738
1832,2494.6399,United Kingdom,GBR,18995772,United Kingdom,GBR,290.57221360000005,1.38521568862207,94992963698.39804,4314.226304927664,8.161265784713712e-08,1046.0599689600003
1833,2491.26,United Kingdom,GBR,19226422,United Kingdom,GBR,296.3936568,1.413438436408917,95585775654.25345,4396.691748089079,8.190725454949522e-08,1067.01716448
1834,2542.3201,United Kingdom,GBR,19457564,United Kingdom,GBR,303.8100159,1.4422362018621075,96186033064.56032,4647.930218918547,8.220190482427929e-08,1093.71605724
1835,2664.8,United Kingdom,GBR,19688736,United Kingdom,GBR,311.53922389999997,1.4716207005423954,96793877083.12685,5118.516604813114,8.288233062235384e-08,1121.54120604
1836,2699.9299,United Kingdom,GBR,19919672,United Kingdom,GBR,319.271499,1.50160388670644,97409452454.5176,5320.995284335838,8.356275642042812e-08,1149.3773964
1837,2646.5701,United Kingdom,GBR,20141112,United Kingdom,GBR,327.5926662,1.5321979581700955,98032907628.9641,5247.850572932479,8.424318221850266e-08,1179.33359832
1838,2745.99,United Kingdom,GBR,20350068,United Kingdom,GBR,337.4903465,1.5634153612706823,98664394881.7167,5639.41336018717,8.49236080165772e-08,1214.9652474
1839,2773.96,United Kingdom,GBR,20548774,United Kingdom,GBR,347.38495960000006,1.595268795930462,99304070437.0392,5806.974007858633,8.560403381465173e-08,1250.5858545600001
1840,2749.8899,United Kingdom,GBR,20737252,United Kingdom,GBR,357.2795727,1.627771220823277,99952094597.05833,5810.49825134325,8.628445961272601e-08,1286.20646172
