Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1862,2634.35,Italy,ITA,26471122,Italy,ITA,127.00896189999999,469.26437956261515,69148916182.4755,564.48091370271,239111779.3235095,457.23226284
1863,2688.11,Italy,ITA,26642796,Italy,ITA,127.00896189999999,472.7112556131278,69753942417.7399,567.706120625198,238342325.56391484,457.23226284
1864,2642.03,Italy,ITA,26812516,Italy,ITA,126.06750670000001,476.20914286188014,70369649597.59732,566.3662310482255,237572871.80432028,453.84302412000005
1865,2780.28,Italy,ITA,26980520,Italy,ITA,124.9222757,479.75918214222366,70996323077.94023,573.6454564468007,236803418.0447256,449.72019252
1866,2588.27,Italy,ITA,27150708,Italy,ITA,123.77704479999998,483.36254856171035,71634258470.88939,565.3983886013011,236033964.28513104,445.59736128
1867,2611.31,Italy,ITA,27324084,Italy,ITA,123.1919092,487.0204527989632,72283762109.75684,567.2458681832023,235264510.52553633,443.49087312
1868,2626.67,Italy,ITA,27498456,Italy,ITA,124.33714009999998,490.7341424598813,72945151539.5353,568.7621090715081,234495056.7659418,447.61370435999993
1869,2695.8,Italy,ITA,27673254,Italy,ITA,125.48208329999999,494.50490349637073,73618756034.56375,572.9159562882335,233725603.0063471,451.73549987999996
1870,2826.36,Italy,ITA,27845334,Italy,ITA,126.6273142,498.3340616909904,74304917145.14226,580.2876898378004,232956149.24675256,455.85833112
1871,2811.12,Italy,ITA,28016030,Italy,ITA,127.88680919999999,502.22298421111344,75003989275.00264,580.3891532475133,232186695.48715785,460.39251312
1872,2593.0,Italy,ITA,28189484,Italy,ITA,129.203868,506.1730812364319,75716340291.68636,570.2689884306811,231417241.72756317,465.1339248
1873,2581.0,Italy,ITA,28366170,Italy,ITA,130.520639,510.18580766387396,76442352172.03839,570.4747329524664,230647787.9679686,469.8743004
1874,2715.0,Italy,ITA,28539488,Italy,ITA,132.9351508,514.262664894265,77182421685.19664,578.0749332510096,229878334.20837408,478.56654288000004
1875,2727.0,Italy,ITA,28715116,Italy,ITA,136.22750990000003,518.4052027053401,77936961115.64322,579.5669960073789,229108880.44877952,490.4190356400001
1876,2662.0,Italy,ITA,28893110,Italy,ITA,139.3002632,522.6150212160197,78706399029.08586,577.0431083345755,228339426.68918467,501.48094752
1877,2678.0,Italy,ITA,29062712,Italy,ITA,139.3002632,526.8937729471737,79491181084.15895,578.7008299118768,227569972.92959014,501.48094752
1878,2745.0,Italy,ITA,29249204,Italy,ITA,139.4421579,531.2431649844559,80291770893.17459,583.2097919230062,226800519.1699956,501.99176844000004
1879,2753.0,Italy,ITA,29434812,Italy,ITA,142.63464390000001,535.6649612491495,81108650935.41667,584.5933208288868,226031065.41040105,513.4847180400001
