Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),Primary energy (PJ),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year)
1887,1847.53,Japan,JPN,39067036,Japan,JPN,4.213684538,122.30048178482758,15.1692643368,97986667489.41841,93.26463249082461,2825450.370836107
1888,1723.57,Japan,JPN,39394500,Japan,JPN,4.402121434,123.89473370871649,15.8476371624,99120203922.27893,90.92427119246697,3179052.1012587906
1889,1754.53,Japan,JPN,39721712,Japan,JPN,4.849109805,125.53109844152586,17.456795298000003,100280273412.5761,91.87869621854728,3532653.8316815537
1890,1853.58,Japan,JPN,40053760,Japan,JPN,5.979460737999999,127.21126695744164,21.526058656799997,101467818594.49257,94.47374856493978,3886255.5621042377
1891,1749.74,Japan,JPN,40397840,Japan,JPN,6.481298425,128.9370219900444,23.332674330000003,102683827289.00525,92.42353895042771,4239857.292526921
1892,1841.7,Japan,JPN,40764872,Japan,JPN,6.755570313,130.71024434197142,24.3200531268,103929335244.36131,94.97668498947884,4593459.022949684
1893,1832.44,Japan,JPN,41155408,Japan,JPN,7.9737390470000005,132.53291972248556,28.705460569200003,105205429078.44733,95.18308514409614,4947060.7533723675
1894,2016.42,Japan,JPN,41554704,Japan,JPN,9.992220717999999,134.40714616520842,35.971994584799994,106513249440.61996,100.75113704757011,5300662.483795131
1895,2021.83,Japan,JPN,41957656,Japan,JPN,10.36721293,136.33514208427343,37.321966548000006,107853994412.33551,101.50393490155594,5654264.214217815
1896,1904.44,Japan,JPN,42376108,Japan,JPN,10.78107379,138.3192550339357,38.811865644,109228923167.88808,98.59531649326755,6007865.944640579
1897,1904.51,Japan,JPN,42820976,Japan,JPN,13.41720386,140.36197124436012,48.301933896,110639359918.76694,99.1766318595286,6361467.675063262
1898,2232.85,Japan,JPN,43291536,Japan,JPN,19.39376008,142.46592601502905,69.817536288,112086698167.60478,111.06349948683773,6715069.405486025
1899,2104.56,Japan,JPN,43782152,Japan,JPN,20.35457405,144.63391505712647,73.27646658,113572405300.44191,107.19312548019327,7068671.135908709
1900,2123.25,Japan,JPN,44282076,Japan,JPN,18.56359217,146.86890688754806,66.82893181200001,115098027549.11864,108.76916781632671,7422272.866331472
1901,2161.51,Japan,JPN,44779568,Japan,JPN,16.93019727,149.17405639007643,60.948710172000006,116665195359.07364,111.17702868119804,7775874.596754156
1902,2012.77,Japan,JPN,45292392,Japan,JPN,17.00834351,151.5527196739996,61.230036636,118275629201.7215,106.39080730288683,8129476.327176919
1903,2203.87,Japan,JPN,45799428,Japan,JPN,16.93019727,154.00847037733783,60.948710172000006,119931145874.96866,114.97333577429362,8483078.057599602
1904,2178.99,Japan,JPN,46316280,Japan,JPN,18.47830021,156.54511758123647,66.521880756,121633665340.37537,114.96080376851373,8836679.788022287
1905,2111.25,Japan,JPN,46847852,Japan,JPN,18.47830021,159.16672552439655,66.521880756,123385218151.0575,113.08619151468784,9190281.51844505
1906,2328.98,Japan,JPN,47389464,Japan,JPN,22.57678091,161.87763533214897,81.276411276,125187953530.74629,124.49516697326582,9543883.248867732
1907,2358.22,Japan,JPN,47847956,Japan,JPN,24.86921166,164.6824890045268,89.52916197600001,127044148171.59021,127.19130749228263,9897484.979290497
1908,2356.92,Japan,JPN,48387864,Japan,JPN,26.89440983,167.58625594215792,96.819875388,128956215826.4203,128.5458399401475,10251086.70971318
1909,2333.2,Japan,JPN,48987700,Japan,JPN,27.90371443,170.59426232883843,100.45337194800001,130926717780.45728,128.8302552710361,10604688.440135943
1910,2316.98,Japan,JPN,49640048,Japan,JPN,29.42131085,173.71222373626742,105.91671906,132958374297.98738,129.64507281917872,10958290.170558628
1911,2399.77,Japan,JPN,50306520,Japan,JPN,33.780184600000005,176.94628137086087,121.60866456000002,135054077151.57999,136.3995891300969,11311891.90098139
1912,2419.71,Japan,JPN,51027052,Japan,JPN,41.654508899999996,180.3030424462883,149.95623204,137216903355.20175,139.81909421814757,11665493.631404074
1913,2430.63,Japan,JPN,51756636,Japan,JPN,48.15728768,183.7896252401965,173.366235648,139450130238.38226,142.8083162482268,12019095.361826839
1914,2357.8,Japan,JPN,52486928,Japan,JPN,47.82577525,187.4137094816812,172.1727909,141757252016.73987,140.17778067649093,12372697.09224952
1915,2512.06,Japan,JPN,53203904,Japan,JPN,41.36776128,191.1835928201139,148.923940608,144141998035.07794,153.477826607362,12726298.822672283
1916,2829.29,Japan,JPN,53886856,Japan,JPN,49.16567642,195.10825424920023,176.996435112,146608352883.382,182.9318207739678,13079900.553094968
1917,2940.63,Japan,JPN,54476676,Japan,JPN,68.33796131,199.19742550666743,246.016660716,149160578613.9482,196.6903955588068,13433502.283517651
1918,2973.49,Japan,JPN,54956380,Japan,JPN,77.74312944,203.46167164472777,279.875265984,151803239320.2216,202.70310510710132,13787104.013940414
1919,3219.31,Japan,JPN,55417532,Japan,JPN,91.3402127,207.91248217562116,328.82476572,154541228375.52158,233.03820113223,14140705.7443631
1920,2973.96,Japan,JPN,55953152,Japan,JPN,76.14861672,212.56237444779282,274.135020192,157379798673.64807,208.44791921081932,14494307.474785862
1921,3244.35,Japan,JPN,56606312,Japan,JPN,72.05465093,217.4250112112461,259.396743348,160324596264.5527,244.56276410468325,14847909.205208544
1922,3243.83,Japan,JPN,57313904,Japan,JPN,75.79874561,222.51533469743592,272.875484196,163381697838.24103,249.69114576921726,15201510.935631307
