Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e12$),EI(PJ/$)-Time(year),Primary energy (PJ)
1800,4184.49,Netherlands,NLD,2254522,Netherlands,NLD,19.63648182,134.90694193295334,24407442770.591812,121.88061493047589,338068836.4817337,70.691334552
1801,4110.52,Netherlands,NLD,2258382,Netherlands,NLD,19.63648182,135.6579761776457,24532468695.03547,120.72737225592385,338908169.6991449,70.691334552
1802,4337.79,Netherlands,NLD,2262250,Netherlands,NLD,19.63648182,136.4174193317394,24658782092.788067,124.78063740214256,339747502.91655654,70.691334552
1803,4244.21,Netherlands,NLD,2266123,Netherlands,NLD,19.63648182,137.18541341505926,24786402953.69965,123.28663746925682,340586836.13396806,70.691334552
1804,4445.63,Netherlands,NLD,2270004,Netherlands,NLD,19.63648182,137.96210366367336,24915351683.60087,126.91260065009678,341426169.35137963,70.691334552
1805,4184.49,Netherlands,NLD,2273890,Netherlands,NLD,19.63648182,138.74763862145693,25045649115.180065,122.50022713849414,342265502.56879115,70.691334552
1806,4215.69,Netherlands,NLD,2277784,Netherlands,NLD,19.63648182,139.5421702348023,25177316519.203423,123.16830843970563,343104835.7862028,70.691334552
1807,3862.75,Netherlands,NLD,2281684,Netherlands,NLD,19.63648182,140.34585395060188,25310375616.09091,117.14247365642956,343944169.0036143,70.691334552
1808,2632.0,Netherlands,NLD,2285591,Netherlands,NLD,20.09182569,141.15884881763637,25444848587.861244,95.89441020062056,344783502.2210259,72.330572484
1815,3011.0,Netherlands,NLD,2335297,Netherlands,NLD,21.81835275,147.12469185077418,26427713996.283806,103.58698804343203,350658834.7429065,78.54606989999999
1816,2869.0,Netherlands,NLD,2348112,Netherlands,NLD,21.81835275,148.0183703157713,26574356170.46841,101.35172097696045,351498167.9603181,78.54606989999999
1817,2898.0,Netherlands,NLD,2361598,Netherlands,NLD,21.81835275,148.9229720614092,26722634802.054382,102.16399916426788,352337501.17772967,78.54606989999999
1818,2942.0,Netherlands,NLD,2376042,Netherlands,NLD,21.95848599,149.83869858926386,26872577437.88409,103.27403211753108,353176834.3951412,79.05054956400001
1819,2807.0,Netherlands,NLD,2391490,Netherlands,NLD,22.30079618,150.76575638770316,27024212246.55793,101.17122600261906,354016167.61255276,80.282866248
1820,3006.0,Netherlands,NLD,2407847,Netherlands,NLD,22.64310638,151.70435708711491,27177568036.07594,105.15308818757273,354855500.829964,81.515182968
1821,2947.0,Netherlands,NLD,2424969,Netherlands,NLD,22.98506,152.6547176209691,27332674272.083538,104.45792063697331,355694834.04737556,82.746216
1822,2974.0,Netherlands,NLD,2442476,Netherlands,NLD,23.3273702,153.61706039297226,27489561096.7456,105.3499456526157,356534167.26478714,83.97853272
1823,3121.0,Netherlands,NLD,2460653,Netherlands,NLD,23.669680399999997,154.59161345058473,27648259348.274326,108.50806139201406,357373500.4821987,85.21084943999999
1824,3100.0,Netherlands,NLD,2479785,Netherlands,NLD,24.01306031,155.5786106651844,27808800581.137444,108.56609871927265,358212833.69961023,86.447017116
1825,3022.0,Netherlands,NLD,2499920,Netherlands,NLD,24.39459355,156.57829191917688,27971217086.974552,107.5585998261821,359052166.9170218,87.82053678
1826,3068.0,Netherlands,NLD,2521295,Netherlands,NLD,24.77648337,157.5909033003657,28135541916.25074,108.93097643755573,359891500.13443345,89.19534013200001
1827,3250.0,Netherlands,NLD,2543862,Netherlands,NLD,25.15801661,158.61669730391407,28301808900.67799,112.98056243846383,360730833.35184497,90.568859796
1828,3319.0,Netherlands,NLD,2567669,Netherlands,NLD,25.53954985,159.65593304224535,28470052676.436287,114.91982024039102,361570166.56925654,91.94237946
1829,3325.0,Netherlands,NLD,2592810,Netherlands,NLD,25.92143966,160.70887646325022,28640308708.22796,115.67449502532243,362409499.78666806,93.31718277600001
1830,3038.0,Netherlands,NLD,2619333,Netherlands,NLD,26.18209461,161.7758005771851,28812613314.200245,110.62082059012339,363248833.00407934,94.255540596
1831,3264.0,Netherlands,NLD,2647333,Netherlands,NLD,26.18209461,162.8569856926693,28987003691.773,115.82547196803391,364088166.2214909,94.255540596
1832,3417.0,Netherlands,NLD,2675286,Netherlands,NLD,26.18209461,163.95271966220918,29163517944.410015,119.64516653766317,364927499.4389025,94.255540596
1833,3341.0,Netherlands,NLD,2702952,Netherlands,NLD,26.18209461,165.06329813770105,29342195109.374493,118.79844753350699,365766832.656314,94.255540596
1834,3370.0,Netherlands,NLD,2730524,Netherlands,NLD,26.18209461,166.18902483638922,29523075186.511074,120.1065938942137,366606165.8737256,94.255540596
1835,3360.0,Netherlands,NLD,2757810,Netherlands,NLD,26.71624115,167.33021181778153,29706199168.09906,120.5983820305292,367445499.0911372,96.17846813999999
1836,3472.0,Netherlands,NLD,2784238,Netherlands,NLD,27.47930763,168.48717977205325,29891609069.823624,123.66124716649416,368284832.30854875,98.925507468
1837,3553.0,Netherlands,NLD,2809381,Netherlands,NLD,28.24273068,169.66025832049874,30079347962.914055,126.0711176825174,369124165.52596027,101.673830448
1838,3590.0,Netherlands,NLD,2833571,Netherlands,NLD,29.00615374,170.8497863286223,30269460007.500843,127.53257939484944,369963498.74337184,104.42215346399999
1839,3588.0,Netherlands,NLD,2856952,Netherlands,NLD,29.76922022,172.0561122324929,30461990487.245743,128.13203948163797,370802831.9607834,107.169192792
1840,3623.0,Netherlands,NLD,2880190,Netherlands,NLD,30.53264327,173.27959437902337,30656985845.30188,129.54411075591403,371642165.17819464,109.917515772
1841,3658.0,Netherlands,NLD,2904000,Netherlands,NLD,30.00348876,174.52060138087126,30854493721.663925,130.98555176781824,372481498.3956062,108.012559536
1842,3569.0,Netherlands,NLD,2928476,Netherlands,NLD,29.45222671,175.77951248670087,31054562991.971386,129.67297017608203,373320831.6130178,106.028016156
1843,3507.0,Netherlands,NLD,2953667,Netherlands,NLD,28.90096467,177.05671796758668,31257243807.831425,128.9581412628284,374160164.8304294,104.043472812
1844,3540.0,Netherlands,NLD,2979143,Netherlands,NLD,28.37323645,178.3526195203858,31462587638.731068,130.3973308736413,374999498.0478409,102.14365122000001
1845,3515.0,Netherlands,NLD,3004286,Netherlands,NLD,28.74050676,179.66763068895477,31670647315.612434,130.50396128597518,375838831.26525253,103.465824336
1846,3521.0,Netherlands,NLD,3029095,Netherlands,NLD,29.10813365,181.00217730413942,31881477076.18835,131.31255224004886,376678164.48266405,104.78928114
1847,3545.0,Netherlands,NLD,3053619,Netherlands,NLD,29.47576054,182.3566979435199,32095132612.08015,132.5379927512277,377517497.7000756,106.112737944
1848,3602.0,Netherlands,NLD,3077571,Netherlands,NLD,29.84303085,183.73164441195453,32311671117.86358,134.53775807620252,378356830.91748714,107.43491106
1849,3709.0,Netherlands,NLD,3100571,Netherlands,NLD,30.21065774,185.12748224402833,32531151342.113678,137.72603104759625,379196164.1348988,108.758367864
1850,3779.0,Netherlands,NLD,3122714,Netherlands,NLD,30.60431447,186.54469122957985,32753633640.544155,140.0411411294102,380035497.35230994,110.175532092
1851,3834.0,Netherlands,NLD,3144324,Netherlands,NLD,31.26575761,187.98376596355254,32979180031.34242,142.0029435517699,380874830.5697216,112.55672739600001
1852,3790.0,Netherlands,NLD,3165506,Netherlands,NLD,31.92755732,189.44521642149473,33207854252.806625,141.55535007417268,381714163.7871331,114.939206352
1853,3704.0,Netherlands,NLD,3186687,Netherlands,NLD,32.58900047,190.92956856211478,33439721823.39746,140.0623412632519,382553497.0045447,117.320401692
1854,3931.0,Netherlands,NLD,3208106,Netherlands,NLD,33.77353638,192.43736495838658,33674850104.32334,146.2905021669014,383392830.2219562,121.58473096800002
