Year,GDP,Population,Primary energy (TWh),Entity,Code,Energy(PJ)-GDP(10e14$),GDPC(k$)-Time(year),GDP(2011$)-Time(year),Energy(PJ)-Time(Year),EI(PJ/$)-Time(year)
1820,1200000000000.0,989818304,6264,World,OWID_WRL,24058.010861799685,1.1985361000922148,2363032423312.875,244.04761904761904,1.7561653977125878e-05
1870,1920000000000.0,1262682112,8592,World,OWID_WRL,30783.33383773343,1.641539158406893,3353622161086.3213,347.4576271186441,1.4934522200061855e-05
1900,3420000000000.0,1650000000,12128,World,OWID_WRL,44794.42337092873,2.1093295429084864,4480586800163.845,465.9090909090909,1.335824313382343e-05
1940,7810000000000.0,2300000000,22840,World,OWID_WRL,85800.21207141364,3.401929270177421,8117868037669.028,854.1666666666666,1.1256537712172198e-05
1950,9250000000000.0,2536431104,28516,World,OWID_WRL,99250.85802328112,4.01739548918395,10184849679764.656,1078.9473684210527,1.0731111356759406e-05
1960,14600000000000.0,3034949888,41713,World,OWID_WRL,149223.74402501102,4.90474664603598,13663992393628.508,1464.2857142857142,1.0296338106032571e-05
1965,18700000000000.0,3339584000,52399,World,OWID_WRL,187520.7220824115,5.513668542422523,16478522463647.447,1782.6086956521738,1.009227546236236e-05
1966,19700000000000.0,3407922944,54791,World,OWID_WRL,196861.44843787505,5.654058255644075,17186544617528.504,1863.6363636363635,1.0051462933628325e-05
1967,20400000000000.0,3478769920,56565,World,OWID_WRL,203399.95688669948,5.801784000441475,17958140578269.184,1952.3809523809523,1.0010650404894292e-05
1968,21500000000000.0,3551599104,59499,World,OWID_WRL,213674.75587770942,5.95743621739905,18802275337525.71,2050.0,9.969837876160242e-06
1969,22700000000000.0,3625680896,62949,World,OWID_WRL,224883.62750426563,6.121670456021326,19729682651357.793,2157.8947368421054,9.929025347426207e-06
1970,23900000000000.0,3700436992,66378,World,OWID_WRL,236092.49913082185,6.295216603751778,20753323886985.46,2277.777777777778,9.888212818692174e-06
1971,24900000000000.0,3775759872,68753,World,OWID_WRL,245433.2254862854,6.427284509058184,21888997524978.727,2411.7647058823527,9.847400289958124e-06
1972,26000000000000.0,3851651072,72020,World,OWID_WRL,255708.02447729532,6.5468112883961815,23156160367404.02,2562.5,9.806587761224091e-06
1973,27800000000000.0,3927781120,75674,World,OWID_WRL,272521.3319171297,6.666338067734179,24579051513730.598,2629.2933799649063,9.765775232490057e-06
1974,28400000000000.0,4003793920,76084,World,OWID_WRL,278125.7677304077,6.785864847072176,26188257861299.973,2696.0867599297844,9.724962703756007e-06
1975,28800000000000.0,4079480064,76500,World,OWID_WRL,281862.0582725932,6.905391626410173,28022937654626.184,2762.8801398946907,9.668049469706226e-06
1976,30300000000000.0,4154667008,80166,World,OWID_WRL,292389.9080665979,7.024918405748171,30134049102852.91,2829.673519859597,9.564266624130015e-06
1977,31500000000000.0,4229506048,82800,World,OWID_WRL,298953.09951218957,7.144445185086168,32589157266041.652,2896.4668998245033,9.460483778553836e-06
1978,32900000000000.0,4304534016,85405,World,OWID_WRL,306476.2156608141,7.263971964424165,33695936604038.223,2963.2602797894097,9.356700932977624e-06
1979,34000000000000.0,4380506112,88095,World,OWID_WRL,312291.4417871604,7.383498743762162,34802715942034.723,3030.0536597542873,9.252918087401411e-06
1980,34700000000000.0,4458002944,87599,World,OWID_WRL,315950.11959191354,7.50302552310016,35909495280031.23,3096.8470397191936,9.1491352418252e-06
1981,35400000000000.0,4536996864,87343,World,OWID_WRL,319577.30803545314,7.622552302438157,37016274618027.72,3163.6404196841,9.045352396248986e-06
1982,35800000000000.0,4617387008,86971,World,OWID_WRL,321636.1917101138,7.742079081776154,38123053956024.22,3230.4337996490062,8.94156955067281e-06
1983,36800000000000.0,4699569152,88315,World,OWID_WRL,326740.71857102227,7.8616058611141515,39229833294020.72,3297.227179613884,8.837786705096599e-06
1984,38500000000000.0,4784011776,92161,World,OWID_WRL,335283.98421989684,7.981132640452149,40336612632017.22,3364.02055957879,8.734003859520384e-06
1985,39800000000000.0,4870922240,94428,World,OWID_WRL,341708.46995568945,8.100659419790146,41443391970013.72,3430.8139395436965,8.630221013944173e-06
1986,41200000000000.0,4960567808,96373,World,OWID_WRL,348527.392196297,8.220186199128143,42550171308010.22,3497.607319508603,8.526438168367997e-06
1987,42800000000000.0,5052521984,99479,World,OWID_WRL,356200.0053346398,8.33971297846614,43656950646006.72,3564.400699473509,8.422655322791783e-06
1988,44600000000000.0,5145425920,102982,World,OWID_WRL,364686.24404242873,8.459239757804138,44763729984003.22,3631.1940794383872,8.31887247721557e-06
1989,46100000000000.0,5237441024,104877,World,OWID_WRL,371646.590872844,8.578766537142135,45870509321999.72,3697.9874594032935,8.215089631639359e-06
1990,47000000000000.0,5327230976,106161,World,OWID_WRL,375776.2516911244,8.698293316480132,46977288659996.22,3764.7808393682,8.111306786063146e-06
1991,47700000000000.0,5414288896,106965,World,OWID_WRL,378964.8327148302,8.81782009581813,48084067997992.72,3831.574219333106,8.007523940486969e-06
1992,48500000000000.0,5498919936,107816,World,OWID_WRL,382584.475916138,8.937346875156127,49190847335989.22,3898.3675992979843,7.903741094910757e-06
1993,49400000000000.0,5581598208,108620,World,OWID_WRL,386626.13241027965,9.056873654494124,50297626673985.72,3965.1609792628906,7.799958249334544e-06
1994,50900000000000.0,5663150080,110003,World,OWID_WRL,393292.7824946697,9.176400433832121,51404406011981.86,4031.954359227797,7.696175403758333e-06
1995,52600000000000.0,5744212992,112195,World,OWID_WRL,400747.36648907344,9.295927213170119,52511185349978.36,4098.747739192703,7.592392558182156e-06
1996,54600000000000.0,5824891904,115289,World,OWID_WRL,409386.5366727703,9.415453992508116,53617964687974.86,4165.5411191576095,7.488609712605943e-06
1997,56800000000000.0,5905046016,116422,World,OWID_WRL,418734.46533606475,9.534980771846113,54724744025971.36,4232.334499122488,7.38482686702973e-06
1998,58200000000000.0,5984794112,117213,World,OWID_WRL,424602.48894164304,9.81912792969144,55831523363967.86,4299.127879087393,7.281044021453518e-06
1999,60200000000000.0,6064239104,119309,World,OWID_WRL,432881.49509391893,10.103275087536812,56938302701964.36,4365.9212590523,7.177261175877306e-06
2000,63100000000000.0,6143494144,122073,World,OWID_WRL,444679.601125445,10.387422245382094,58045082039960.86,4432.714639017206,7.073478330301128e-06
2001,64600000000000.0,6222626816,123184,World,OWID_WRL,450690.8212850772,10.671569403227377,61259797824492.07,4499.508018982084,6.969695484724916e-06
