Year,GDP per capita,Entity,Code,Population,Entity_y,Code_y,Primary energy (TWh),Energy(PJ)-Time(Year),Primary energy (PJ),GDP(2011$)-Time(year),Energy(PJ)-GDP(10e13$),EI(PJ/$)-Time(year)
1850,3631.82,United States,USA,24136292,United States,USA,2288.00437236,4164.76034115209,2288.00437236,116456357161.56535,1251.7228235075993,2.43431590819095e-08
1855,4161.49,United States,USA,27910664,United States,USA,2727.74386332,4661.492123189412,2727.74386332,135981126561.09189,1771.8905485287112,2.3047159081909498e-08
1860,4401.89,United States,USA,31967054,United States,USA,3069.43989192,5217.469202212434,3069.43989192,158779367923.81757,2218.3836935016448,2.1751159081909497e-08
1865,4637.16,United States,USA,36297288,United States,USA,3309.2095482,5839.75777640273,3309.2095482,185399903029.6342,2717.844544770052,2.04551590819095e-08
1870,4803.0,United States,USA,40899168,United States,USA,3836.3145011999995,6536.266830783612,3836.3145011999995,216483567688.0276,3224.3553148576134,1.91591590819095e-08
1875,5105.12,United States,USA,45854328,United States,USA,4196.4543504,7315.8486565720395,4196.4543504,252778638570.51712,3898.7695362420145,1.78631590819095e-08
1880,6255.73,United States,USA,51402380,United States,USA,4854.6074952,8188.411359493164,4854.6074952,295158846465.63617,5448.956291927563,1.6567159081909502e-08
1885,6424.14,United States,USA,57461504,United States,USA,5479.755912,9165.044786983623,5479.755912,344644409589.3105,6282.655669229736,1.5271159081909498e-08
1890,6664.55,United States,USA,64051772,United States,USA,6806.7402012,10258.161474756962,6806.7402012,402426593285.23065,7285.289957035228,1.5177912070714142e-08
1895,7159.51,United States,USA,70738200,United States,USA,7436.742256799999,11481.654404093939,7436.742256799999,469896387340.6158,8651.19174195067,1.5595404848673175e-08
1900,8037.57,United States,USA,77781472,United States,USA,9306.3631392,12851.073574874978,9306.3631392,548677991266.0012,10655.066564559123,1.6012897626632178e-08
1905,9121.33,United States,USA,85524304,United States,USA,12825.249793199999,14383.823638513577,12825.249793199999,640667913629.8079,13209.743497622801,1.643039040459118e-08
1910,9636.78,United States,USA,94088792,United States,USA,16080.098612400001,16099.385102608034,16080.098612400001,748080626685.4257,15248.100246549237,1.6847883182550184e-08
1915,9164.18,United States,USA,102789832,United States,USA,17214.8788872,18019.56191871539,17214.8788872,873501875334.1517,15808.103319076112,1.7265375960509187e-08
1920,10152.93,United States,USA,109122856,United States,USA,20709.4973616,20168.75859996757,20709.4973616,1019950923729.9572,18397.641076181535,1.768286873846819e-08
1925,11149.77,United States,USA,118421720,United States,USA,21726.819626400003,22574.290390560604,21726.819626400003,1190953237987.765,21607.2544496127,1.8100361516427193e-08
1930,10694.98,United States,USA,125841184,United States,USA,22986.8237304,25266.730429218205,22986.8237304,1390625354685.2712,21984.555957619166,1.742925788114864e-08
1935,9680.84,United States,USA,130246608,United States,USA,19837.784196,28280.298318911056,19837.784196,1623773978196.6064,20720.518573698195,1.6729332689414787e-08
1940,12005.1,United States,USA,135198128,United States,USA,24467.1829452,31653.29504136202,24467.1829452,1896011692426.8086,25981.374456800182,1.602940749768087e-08
1945,16477.55,United States,USA,143095072,United States,USA,31708.809003600003,35428.5897438897,31708.809003600003,2213892072474.083,35687.79657262574,1.5329482305947016e-08
1950,15240.0,United States,USA,158804000,United States,USA,33602.6980692,39654.164585413986,33602.6980692,2585067448761.4,36454.8259401449,1.4629557114213102e-08
