LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2016;1066059.528
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2017;1090330.136
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2018;1122223.519
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2019;1156335.955
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2020;1190221
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2021;1223255
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2022;1255818
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2023;1288557
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2024;1322018
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2025;1356407
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2026;1391777
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2027;1428033
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2028;1465238
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2029;1503479
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2030;1542855
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2031;1583458
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2032;1625542
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2033;1669185
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2034;1714446
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2035;1761375
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2036;1810016
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2037;1860204
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2038;1911938
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2039;1965214
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2040;2020034
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2041;2076417
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2042;2134617
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2043;2194686
AUS;GDPLTFORECAST;TOT;MLN_USD;A;2044;2256681
