En/CapIndia,gdp/CapIndia,"Model,India",En/CapBrazil,gdp/CapBrazil,"Model,Brazil",En/CapIndonesia,gdp/CapIndonesia,"Model,Indonesia",En/CapMexico,gdp/CapMexico,"Model,Mexico",En/CapChina,gdp/CapChina,"Model,China"
4.44311555359115e-06,1.229,4.618466920967613,1.1627955957492745e-05,3.617,12.427200497289146,3.022733302083437e-06,1.567,2.6509313341735754,2.3802311667119938e-05,5.737,20.379032996399797,7.616544082753487e-06,1.253,10.804656438776153
4.4843675436393315e-06,1.215,4.538302106208013,1.2341206810040024e-05,3.747,12.66919752929791,2.9167250667313757e-06,1.535,2.6015813549811617,2.4419420035149384e-05,5.95,22.141083582332,8.075009521359656e-06,1.261,10.856254307736917
4.527108972151998e-06,1.286,4.942788775943986,1.2445508655550002e-05,3.795,12.769045553248818,2.80271286343113e-06,1.47,2.5088164763319094,2.4117684640940454e-05,6.132,23.648148069548817,7.069866226091301e-06,1.237,10.701565041320569
4.736791271328057e-06,1.29,4.965424213926299,1.386083839490192e-05,4.05,13.397892786235499,2.9068394925537782e-06,1.58,2.671683331405378,2.5458300297324085e-05,6.432,26.129425670748503,6.9449386148525224e-06,1.178,10.322615449557434
5.138983721767757e-06,1.347,5.286221682058507,1.4748017725640722e-05,4.313,14.224302292892878,3.1944487692266394e-06,1.739,2.9591011144108403,2.710361397537291e-05,6.629,27.752845312259847,8.22305664312892e-06,1.264,10.875612479565865
4.9164291888130776e-06,1.384,5.49270834396014,1.6672988971013426e-05,4.635,15.480162372095663,3.330704833918445e-06,1.882,3.271934322162568,2.8058313589932807e-05,6.873,29.752114500688815,1.0254475953862523e-05,1.398,11.745285740147544
4.997720315413001e-06,1.364,5.381264466898061,1.7790388067663084e-05,5.024,17.327315288537605,3.1044960977265017e-06,1.946,3.428869485959612,2.8637892832918838e-05,6.912,30.07016110739134,1.1854585041707903e-05,1.446,12.059203928430106
5.14206878386481e-06,1.329,5.1852713724295505,2.0007021900880242e-05,5.48,19.864503625839983,3.208190584793872e-06,2.117,3.8993975522276907,3.0727109160724086e-05,7.256,32.85223202898156,1.2474682974084774e-05,1.431,11.960968361865019
5.12683303130509e-06,1.36,5.358927568818001,2.3293840150989156e-05,6.086,23.620310303300414,3.524492753623188e-06,2.375,4.745868014329393,3.2183388963852e-05,7.597,35.557982925058134,1.287156692127752e-05,1.513,12.499504264805452
5.309684015227468e-06,1.344,5.269419278215181,2.4851882413615267e-05,6.416,25.74066228779217,3.681197909309224e-06,2.439,4.979785879001318,3.4446709334621424e-05,7.801,37.14559537760271,1.299497349372127e-05,1.519,12.539055143487863
