Entity;Code;Year;World GDP in 2011 Int.$ (OWID based on World Bank & Maddison (2017));Population
World;OWID_WRL;1;1.82741E+11;188239088
World;OWID_WRL;1000;2.10145E+11;295040192
World;OWID_WRL;1500;4.30527E+11;461367648
World;OWID_WRL;1600;5.74469E+11;553956096
World;OWID_WRL;1700;6.43323E+11;603167552
World;OWID_WRL;1820;1.20236E+12;989818304
World;OWID_WRL;1870;1.92392E+12;1262682112
World;OWID_WRL;1900;3.41875E+12;1650000000
World;OWID_WRL;1913;4.73868E+12;1778264832
World;OWID_WRL;1940;7.80637E+12;2300000000
World;OWID_WRL;1950;9.25106E+12;2536431104
World;OWID_WRL;1951;9.79563E+12;2584034048
World;OWID_WRL;1952;1.02487E+13;2630862080
World;OWID_WRL;1953;1.07649E+13;2677608960
World;OWID_WRL;1954;1.11328E+13;2724847104
World;OWID_WRL;1955;1.18424E+13;2773019904
World;OWID_WRL;1956;1.23993E+13;2822443008
World;OWID_WRL;1957;1.28712E+13;2873306112
World;OWID_WRL;1958;1.32845E+13;2925687040
World;OWID_WRL;1959;1.38933E+13;2979576064
World;OWID_WRL;1960;1.46204E+13;3034949888
World;OWID_WRL;1961;1.51275E+13;3091844096
World;OWID_WRL;1962;1.58404E+13;3150420992
World;OWID_WRL;1963;1.65288E+13;3211001088
World;OWID_WRL;1964;1.77274E+13;3273978112
World;OWID_WRL;1965;1.86556E+13;3339584000
World;OWID_WRL;1966;1.96728E+13;3407922944
World;OWID_WRL;1967;2.04048E+13;3478769920
World;OWID_WRL;1968;2.15276E+13;3551599104
World;OWID_WRL;1969;2.27155E+13;3625680896
World;OWID_WRL;1970;2.38667E+13;3700436992
World;OWID_WRL;1971;2.48559E+13;3775759872
World;OWID_WRL;1972;2.60382E+13;3851651072
World;OWID_WRL;1973;2.77663E+13;3927781120
World;OWID_WRL;1974;2.84127E+13;4003793920
World;OWID_WRL;1975;2.88461E+13;4079480064
World;OWID_WRL;1976;3.02532E+13;4154667008
World;OWID_WRL;1977;3.14799E+13;4229506048
World;OWID_WRL;1978;3.2864E+13;4304534016
World;OWID_WRL;1979;3.40391E+13;4380506112
World;OWID_WRL;1980;3.47271E+13;4458002944
World;OWID_WRL;1981;3.54078E+13;4536996864
World;OWID_WRL;1982;3.57991E+13;4617387008
World;OWID_WRL;1983;3.68173E+13;4699569152
World;OWID_WRL;1984;3.84967E+13;4784011776
World;OWID_WRL;1985;3.98236E+13;4870922240
World;OWID_WRL;1986;4.1232E+13;4960567808
World;OWID_WRL;1987;4.28129E+13;5052521984
World;OWID_WRL;1988;4.46496E+13;5145425920
World;OWID_WRL;1989;4.60768E+13;5237441024
World;OWID_WRL;1990;4.70438E+13;5327230976
World;OWID_WRL;1991;4.76509E+13;5414288896
World;OWID_WRL;1992;4.84851E+13;5498919936
World;OWID_WRL;1993;4.94155E+13;5581598208
World;OWID_WRL;1994;5.08866E+13;5663150080
World;OWID_WRL;1995;5.25766E+13;5744212992
World;OWID_WRL;1996;5.46052E+13;5824891904
World;OWID_WRL;1997;5.67721E+13;5905046016
World;OWID_WRL;1998;5.81595E+13;5984794112
World;OWID_WRL;1999;6.02475E+13;6064239104
World;OWID_WRL;2000;6.31009E+13;6143494144
World;OWID_WRL;2001;6.46392E+13;6222626816
World;OWID_WRL;2002;6.64209E+13;6301772800
World;OWID_WRL;2003;6.88949E+13;6381185024
World;OWID_WRL;2004;7.26182E+13;6461158912
World;OWID_WRL;2005;7.60892E+13;6541906944
World;OWID_WRL;2006;8.02026E+13;6623518208
World;OWID_WRL;2007;8.45765E+13;6705947136
World;OWID_WRL;2008;8.70207E+13;6789088768
World;OWID_WRL;2009;8.67501E+13;6872766976
World;OWID_WRL;2010;9.13297E+13;6956824064
World;OWID_WRL;2011;9.49824E+13;7041193984
World;OWID_WRL;2012;9.80323E+13;7125828096
World;OWID_WRL;2013;1.0127E+14;7210582016
World;OWID_WRL;2014;1.0472E+14;7295290880
World;OWID_WRL;2015;1.0812E+14;7379796992
World;OWID_WRL;2016;1.10942E+14;7464022016
World;OWID_WRL;2017;1.14603E+14;7547858944
World;OWID_WRL;2018;1.18018E+14;7631091200
World;OWID_WRL;2019;1.20803E+14;7713467904
