Entity,Code,Year,World Population over 12000 years (various sources (2019)),Medium Projection (UN Population Division (2019 revision))
Afghanistan,AFG,2020,,38928000
Afghanistan,AFG,2021,,39835000
Afghanistan,AFG,2022,,40754000
Afghanistan,AFG,2023,,41681000
Afghanistan,AFG,2024,,42609000
Afghanistan,AFG,2025,,43532000
Afghanistan,AFG,2026,,44449000
Afghanistan,AFG,2027,,45364000
Afghanistan,AFG,2028,,46275000
Afghanistan,AFG,2029,,47185000
Afghanistan,AFG,2030,,48094000
Afghanistan,AFG,2031,,49000000
Afghanistan,AFG,2032,,49904000
Afghanistan,AFG,2033,,50804000
Afghanistan,AFG,2034,,51699000
Afghanistan,AFG,2035,,52587000
Afghanistan,AFG,2036,,53469000
Afghanistan,AFG,2037,,54343000
Afghanistan,AFG,2038,,55209000
Afghanistan,AFG,2039,,56065000
Afghanistan,AFG,2040,,56912000
Afghanistan,AFG,2041,,57748000
Afghanistan,AFG,2042,,58574000
Afghanistan,AFG,2043,,59387000
Afghanistan,AFG,2044,,60188000
Afghanistan,AFG,2045,,60974000
Afghanistan,AFG,2046,,61746000
Afghanistan,AFG,2047,,62503000
Afghanistan,AFG,2048,,63245000
Afghanistan,AFG,2049,,63972000
Afghanistan,AFG,2050,,64683000
Afghanistan,AFG,2051,,65379000
Afghanistan,AFG,2052,,66058000
Afghanistan,AFG,2053,,66720000
Afghanistan,AFG,2054,,67365000
Afghanistan,AFG,2055,,67992000
Afghanistan,AFG,2056,,68601000
Afghanistan,AFG,2057,,69191000
Afghanistan,AFG,2058,,69762000
Afghanistan,AFG,2059,,70314000
Afghanistan,AFG,2060,,70845000
Afghanistan,AFG,2061,,71355000
Afghanistan,AFG,2062,,71845000
Afghanistan,AFG,2063,,72313000
Afghanistan,AFG,2064,,72760000
Afghanistan,AFG,2065,,73185000
Afghanistan,AFG,2066,,73588000
Afghanistan,AFG,2067,,73969000
Afghanistan,AFG,2068,,74327000
Afghanistan,AFG,2069,,74663000
Afghanistan,AFG,2070,,74975000
Afghanistan,AFG,2071,,75265000
Afghanistan,AFG,2072,,75533000
Afghanistan,AFG,2073,,75777000
Afghanistan,AFG,2074,,75999000
Afghanistan,AFG,2075,,76199000
Afghanistan,AFG,2076,,76377000
Afghanistan,AFG,2077,,76533000
Afghanistan,AFG,2078,,76667000
Afghanistan,AFG,2079,,76779000
Afghanistan,AFG,2080,,76870000
Afghanistan,AFG,2081,,76940000
Afghanistan,AFG,2082,,76989000
Afghanistan,AFG,2083,,77018000
Afghanistan,AFG,2084,,77027000
Afghanistan,AFG,2085,,77016000
Afghanistan,AFG,2086,,76987000
Afghanistan,AFG,2087,,76939000
Afghanistan,AFG,2088,,76874000
Afghanistan,AFG,2089,,76792000
Afghanistan,AFG,2090,,76693000
Afghanistan,AFG,2091,,76578000
Afghanistan,AFG,2092,,76449000
Afghanistan,AFG,2093,,76304000
Afghanistan,AFG,2094,,76146000
Afghanistan,AFG,2095,,75974000
Afghanistan,AFG,2096,,75790000
Afghanistan,AFG,2097,,75593000
Afghanistan,AFG,2098,,75385000
Afghanistan,AFG,2099,,75166000
Afghanistan,AFG,2100,,74938000
Africa,,2020,,1340598000
Africa,,2021,,1373487000
Africa,,2022,,1406729000
Africa,,2023,,1440353000
Africa,,2024,,1474410000
Africa,,2025,,1508935000
Africa,,2026,,1543926000
Africa,,2027,,1579365000
Africa,,2028,,1615247000
Africa,,2029,,1651569000
Africa,,2030,,1688321000
Africa,,2031,,1725498000
Africa,,2032,,1763089000
Africa,,2033,,1801081000
Africa,,2034,,1839455000
Africa,,2035,,1878194000
Africa,,2036,,1917281000
Africa,,2037,,1956702000
Africa,,2038,,1996434000
Africa,,2039,,2036458000
Africa,,2040,,2076750000
Africa,,2041,,2117291000
Africa,,2042,,2158061000
Africa,,2043,,2199032000
Africa,,2044,,2240172000
Africa,,2045,,2281452000
Africa,,2046,,2322852000
Africa,,2047,,2364351000
Africa,,2048,,2405933000
Africa,,2049,,2447580000
Africa,,2050,,2489275000
Africa,,2051,,2531002000
Africa,,2052,,2572740000
Africa,,2053,,2614472000
Africa,,2054,,2656178000
Africa,,2055,,2697840000
Africa,,2056,,2739442000
Africa,,2057,,2780967000
Africa,,2058,,2822404000
Africa,,2059,,2863745000
Africa,,2060,,2904977000
Africa,,2061,,2946088000
Africa,,2062,,2987058000
Africa,,2063,,3027869000
